Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
0.0021741986,0.0021766762,0.0021723825,0.0021744776,0.0021743746,0.98695296,0.0021749428
0.47975308,0.0011852522,0.0011845191,0.32781607,0.12974033,0.05913524,0.0011854932
0.0019666753,0.20308246,0.0019650606,0.001964585,0.001964645,0.78709424,0.0019622839
0.001441874,0.000976959,0.00097599614,0.82043666,0.038375758,0.13681574,0.0009769704
0.0017723066,0.0017692777,0.0017706829,0.8241034,0.16704151,0.001772148,0.0017706291
0.46732417,0.0009817164,0.0009817724,0.0009834425,0.39028138,0.13846615,0.0009813139
0.4895272,0.0012805264,0.0012800749,0.0012814442,0.42484534,0.08050654,0.0012788622
0.0015762263,0.0015768184,0.0015747611,0.50755006,0.13476382,0.35138264,0.0015756335
0.0018412662,0.15058678,0.0018389404,0.3942746,0.0018399596,0.44777957,0.0018389086
0.003339094,0.0033392683,0.0033365644,0.14686778,0.105268374,0.7345115,0.003337449
0.0013664918,0.2117994,0.0013651843,0.6446116,0.13812278,0.0013674501,0.0013671106
0.0012695385,0.050841056,0.0012695825,0.68263656,0.26144314,0.0012703405,0.0012698068
0.0012701616,0.49342445,0.0012705507,0.50022346,0.001270162,0.0012710382,0.0012701901
0.3182011,0.0012159417,0.0012157618,0.08696154,0.3871274,0.20406233,0.001215916
0.0046271696,0.0046298513,0.004622917,0.004627155,0.0046321563,0.97223103,0.0046297424
0.0010636672,0.040435746,0.0010637004,0.2858383,0.3624651,0.30807057,0.0010628821
0.0020811097,0.70385164,0.28574336,0.0020805942,0.0020813416,0.0020813656,0.0020805749
0.00092033943,0.00091963896,0.00092021935,0.606495,0.38890588,0.0009199025,0.0009190166
0.0011954233,0.0011965805,0.0011952455,0.80779433,0.0011960376,0.18622686,0.0011955522
0.0024322576,0.0024344125,0.0024311566,0.42652422,0.0024330288,0.56131554,0.0024293615
0.003416943,0.2706411,0.003415812,0.0034183988,0.11319768,0.60249436,0.0034156786
0.00065153756,0.034952026,0.00065189216,0.9617878,0.0006522417,0.0006525747,0.0006518949
0.0023142789,0.73405766,0.0023155778,0.002315414,0.0023153967,0.25436765,0.0023139918
0.000677002,0.41952005,0.00067648006,0.0006766489,0.26438615,0.3133877,0.00067595614
0.003777866,0.2936367,0.0037710825,0.0037737722,0.003775894,0.6874907,0.0037740166
0.030774431,0.002517845,0.002516752,0.31732798,0.0025184772,0.6418286,0.0025159137
0.0051205605,0.30215833,0.005122898,0.0051272158,0.15328123,0.5240649,0.0051248632
0.005312585,0.0053171758,0.0053085443,0.0053102747,0.0053212615,0.9681192,0.005310944
0.0021743395,0.002175239,0.0021738682,0.9869487,0.0021750885,0.0021777311,0.002175009
0.0010767321,0.9935352,0.0010789117,0.0010787768,0.0010772569,0.0010771155,0.001076042
0.0034191865,0.3255001,0.38074082,0.0034206568,0.0034165068,0.28008875,0.0034139922
0.00070230954,0.00070214685,0.0007023645,0.13363092,0.0007024126,0.0007024027,0.86285746
0.002760552,0.24152286,0.5079001,0.07914419,0.0027594452,0.16315302,0.0027598084
0.00073525077,0.0007356711,0.9955901,0.00073500455,0.0007345316,0.00073501526,0.0007344813
0.0027025363,0.9837732,0.0027091256,0.0027051505,0.0027033254,0.0027047233,0.0027020082
