Topic 0	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6
0.000165176	0.34814167	0.000165111	0.000165072	0.42555797	0.22564007	0.000164971
0.000580267	0.99651605	0.000581498	0.000580859	0.000580848	0.000580642	0.000579894
0.000680201	0.15564734	0.104091	0.64116573	0.090822615	0.00691364	0.000679463
0.000623517	0.000623018	0.000622604	0.40842366	0.00062425	0.000623551	0.5884594
0.000689335	0.000688902	0.000688467	0.47096094	0.000689975	0.00068946	0.5255929
0.000539511	0.9967627	0.000539484	0.000539494	0.000539944	0.000540246	0.00053861
0.72304183	0.00070566	0.000706059	0.000707016	0.006540743	0.000707105	0.26759157
0.001095789	0.06585816	0.001094551	0.6590812	0.00109584	0.00109507	0.27067935
0.001119563	0.9932784	0.001121108	0.001120493	0.001120465	0.001120496	0.001119496
0.001246233	0.99251705	0.001248847	0.001248665	0.001246839	0.001247327	0.001244982
0.000834577	0.000833078	0.000833538	0.4681161	0.000833874	0.000833889	0.5277149
0.001175604	0.7244921	0.001176328	0.26962882	0.001176416	0.001176173	0.001174583
0.000982984	0.37249976	0.000983049	0.6225852	0.000983403	0.000983517	0.000982147
0.001246762	0.9925142	0.001248649	0.001249221	0.001247053	0.001247452	0.001246691
0.00122566	0.99264246	0.001226989	0.00122726	0.001226343	0.001226949	0.001224339
0.001147146	0.83084905	0.001148265	0.16341159	0.001148521	0.001148518	0.001146936
0.001404614	0.99156857	0.001407127	0.001405604	0.001405227	0.001405735	0.001403108
0.001280433	0.9923145	0.001281599	0.001281099	0.001281213	0.001281218	0.001279903
0.002472524	0.81372434	0.002473445	0.002477222	0.002477167	0.17389652	0.002478772
0.001863051	0.5266846	0.001863633	0.043250065	0.001865725	0.42260855	0.001864344
0.000679339	0.000680003	0.05220281	0.9443981	0.000679675	0.000679791	0.000680272
0.002107195	0.9873483	0.002107793	0.002108221	0.0021088	0.002109512	0.002110134
0.001364527	0.99180335	0.001365547	0.001369535	0.001368627	0.001364871	0.001363563
0.00318488	0.98087645	0.003188074	0.003192312	0.003186059	0.003186822	0.003185374
0.002241028	0.9226403	0.00224201	0.002243596	0.06614863	0.002241023	0.002243368
0.001935434	0.9883818	0.001937506	0.001937483	0.001936284	0.001936489	0.001934972
0.3061715	0.000727567	0.000727986	0.07163198	0.000728291	0.5328365	0.08717612
0.000637024	0.000636948	0.000637195	0.58876526	0.000636854	0.000637081	0.4080496
0.21709344	0.044635	0.00106261	0.27509987	0.45998335	0.001063366	0.001062407
0.25138226	0.08583489	0.001129661	0.11971128	0.5396821	0.001130292	0.001129495
0.51976645	0.001710169	0.34540346	0.12799482	0.001707509	0.001709472	0.001708075
0.19564591	0.001407646	0.001409194	0.21085583	0.001408396	0.001406723	0.58786637
0.001011867	0.001010216	0.001010232	0.05653024	0.001009824	0.001011806	0.9384158
0.004484051	0.85315996	0.004485306	0.004494025	0.124407806	0.004486929	0.004481928
0.000558177	0.000557721	0.79430383	0.000557712	0.000557907	0.20290692	0.000557716
0.001685164	0.9898805	0.001686879	0.001688955	0.001687299	0.001686128	0.001685126
0.001835631	0.9889803	0.001838102	0.001838011	0.001837056	0.00183688	0.00183404
0.001686595	0.98987216	0.001688895	0.001687584	0.001688628	0.001686643	0.001689437
0.00292901	0.9824311	0.002927329	0.002928509	0.002930109	0.002928345	0.002925645
0.85460657	0.000604466	0.000605222	0.000604951	0.000605564	0.000605254	0.142368
0.89180976	0.00081472	0.000814476	0.000815485	0.000815618	0.024568379	0.08036152
0.08615918	0.14051563	0.000706956	0.000707118	0.2089962	0.5622083	0.000706608
0.5873801	0.001351112	0.001352907	0.001352706	0.001352903	0.001352369	0.4058579
0.000615057	0.9963063	0.000616197	0.000616138	0.00061579	0.000615941	0.000614562
0.001062113	0.001062947	0.99362916	0.001062017	0.00106082	0.001061833	0.001061164
0.001060823	0.99363	0.001062838	0.001063299	0.001061329	0.00106172	0.001059996
0.001577863	0.9138242	0.001577657	0.07829045	0.00157637	0.001577045	0.001576445
0.20251009	0.001392372	0.001393021	0.001392874	0.001392193	0.5958988	0.19602063
0.49271387	0.000863566	0.000863647	0.4532671	0.000864831	0.010290816	0.041136194
0.00124561	0.98855525	0.001248293	0.005211016	0.001247275	0.001247045	0.001245508
0.62215704	0.000751062	0.018785125	0.000751861	0.13577017	0.030565906	0.19121884
0.41066146	0.000542859	0.000543186	0.10275316	0.059259403	0.000543595	0.42569634
0.001138156	0.001139433	0.001138877	0.24100605	0.48293257	0.2715063	0.001138582
0.001138079	0.23666112	0.001137784	0.7576463	0.001139366	0.00113942	0.001137886
0.000833728	0.16942796	0.000833636	0.82601106	0.001225249	0.000834267	0.000834056
0.002205404	0.9867582	0.002207295	0.002210574	0.002206272	0.002207224	0.002205072
0.001061588	0.001061522	0.001062018	0.29350847	0.001061592	0.001061263	0.70118356
0.59361655	0.001279662	0.018979259	0.001281414	0.001281271	0.001463401	0.38209844
0.000608346	0.08023483	0.000607738	0.0006084	0.3678104	0.5495225	0.000607812
0.002143778	0.21495152	0.19621602	0.002144474	0.21193627	0.37046394	0.002144
0.32928818	0.000497839	0.000497599	0.05732451	0.01651679	0.000498683	0.59537643
0.77354026	0.0009948	0.00099543	0.21619141	0.000996523	0.000996971	0.006284537
0.104331	0.000426508	0.00042658	0.022342868	0.18469983	0.000427063	0.68734616
