UNIQID	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
r113	42.0	3.4	1.0	3.0	40.0	40.0
r278	38.0	2.2	1.0	3.25	39.0	41.0
r440	37.0	2.2	1.0	2.75	41.0	41.0
r128	40.0	2.2	2.0	3.0	41.0	35.0
r42	43.0	2.6	1.2	3.75	37.0	35.0
r197	27.0	4.0	1.6	2.5	40.0	40.0
r254	23.0	3.8	1.6	3.25	38.0	38.0
r373	20.0	2.6	1.0	3.25	40.0	40.0
r193	31.0	3.0	1.0	2.75	35.0	36.0
r182	29.0	4.0	1.0	3.25	37.0	37.0
r206	34.0	2.8	1.2	3.0	40.0	40.0
r29	32.0	4.0	2.4	3.25	40.0	40.0
r433	38.0	2.0	1.4	2.75	50.0	40.0
r325	46.0	2.8	1.4	3.5	49.0	39.0
r152	46.0	2.0	1.0	2.5	49.0	38.0
r39	47.0	2.6	1.0	3.0	50.0	30.0
r289	47.0	3.0	1.0	2.75	40.0	30.0
r164	49.0	3.6	1.6	3.5	39.0	39.0
r229	53.0	2.6	1.0	2.75	42.0	37.0
r6	53.0	3.0	1.6	3.0	40.0	36.0
r371	19.0	3.0	2.2	3.75	60.0	35.0
r209	24.0	3.2	1.4	2.75	50.0	40.0
r385	21.0	3.6	1.6	3.0	55.0	30.0
r412	21.0	3.2	1.8	3.25	50.0	30.0
r465	24.0	4.0	1.2	2.5	50.0	30.0
r43	26.0	2.8	1.2	2.75	50.0	30.0
r476	26.0	3.0	1.0	2.75	42.0	51.0
r375	21.0	2.8	1.8	3.0	42.0	45.0
r480	20.0	3.0	1.4	3.0	37.0	47.0
r410	22.0	4.0	2.8	3.5	40.0	50.0
r238	30.0	3.0	1.6	3.5	52.0	55.0
r452	27.0	3.0	1.0	3.25	50.0	50.0
r147	26.0	2.8	1.0	3.0	50.0	50.0
r469	26.0	3.8	2.2	2.5	49.0	49.0
r423	29.0	4.0	1.8	3.0	50.0	50.0
r270	30.0	3.4	1.0	2.25	50.0	50.0
r171	28.0	2.0	1.0	2.5	50.0	50.0
r426	28.0	3.6	1.0	3.0	50.0	50.0
r173	28.0	3.0	1.0	3.25	50.0	50.0
r362	29.0	2.8	1.0	3.25	50.0	50.0
r479	29.0	2.4	1.6	2.75	50.0	50.0
r82	29.0	2.6	2.0	3.25	50.0	50.0
r329	36.0	3.2	1.0	2.75	53.0	53.0
r281	36.0	3.0	1.0	2.75	51.0	49.0
r297	35.0	2.4	1.2	3.5	50.0	50.0
r220	36.0	2.8	1.0	3.0	50.0	50.0
r127	35.0	4.0	1.2	3.25	50.0	50.0
r488	32.0	2.4	1.8	2.5	50.0	50.0
r191	32.0	3.0	1.0	3.0	50.0	50.0
r74	32.0	2.4	1.2	3.0	50.0	50.0
r70	36.0	2.2	1.0	2.0	46.0	50.0
r409	21.0	3.4	1.2	3.5	55.0	45.0
r178	21.0	2.6	1.4	2.5	53.0	52.0
r438	21.0	2.6	1.0	1.75	50.0	50.0
r413	21.0	2.8	2.4	3.25	50.0	50.0
r376	21.0	2.6	2.0	2.75	50.0	50.0
r415	20.0	3.8	1.0	3.0	50.0	50.0
r396	20.0	3.0	1.0	3.5	50.0	50.0
r401	21.0	3.4	1.0	3.25	50.0	50.0
r381	21.0	3.2	1.4	3.0	50.0	50.0
r398	20.0	2.8	2.0	3.0	50.0	50.0
r379	20.0	2.2	1.8	2.5	50.0	50.0
r400	20.0	2.6	1.0	2.5	50.0	50.0
r253	20.0	2.4	1.0	2.75	50.0	50.0
r345	23.0	3.0	2.0	2.5	51.0	51.0
r404	22.0	2.4	1.2	3.0	50.0	50.0
r447	23.0	3.6	2.0	2.5	50.0	50.0
r394	23.0	2.8	2.0	2.0	50.0	50.0
r466	23.0	2.8	1.0	2.5	50.0	50.0
r19	23.0	3.2	1.2	2.5	50.0	50.0
