性別_男	年紀_壯年	年紀_中年	年紀_老年	學歷_大學	學歷_研究所以上	學歷_高中職	取消關注他們的粉專或帳號	拒絕觀看他們的發文或影音	在網路上留言或發文指責	其他	因歧視特定國家、種族或性別	因有不同的政治意識型態或價值觀	因不表態支持重要的社會議題	因做出不道德、不正當或不合法行為	因其他	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	43.0	2.6	1.2	3.75	37.0	35.0
0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	26.0	2.8	1.2	2.75	50.0	30.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	31.0	4.0	1.6	3.5	0.0	30.0
0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	70.0	2.0	1.0	2.25	90.0	52.0
1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	44.0	2.0	1.0	3.25	50.0	60.0
1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	28.0	4.0	1.0	3.5	0.0	2.0
1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	47.0	3.2	1.0	3.75	20.0	59.0
0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	60.0	3.8	1.8	2.75	0.0	60.0
0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	48.0	3.4	1.4	3.25	0.0	90.0
0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	33.0	4.0	1.2	4.0	10.0	20.0
0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	26.0	2.8	1.2	2.5	30.0	60.0
1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	22.0	4.0	2.0	3.5	0.0	0.0
0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	27.0	3.8	2.2	2.75	80.0	0.0
0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	52.0	3.2	1.0	3.25	10.0	88.0
0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	25.0	2.4	1.6	3.25	70.0	60.0
0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	41.0	3.0	1.2	2.5	4.0	71.0
0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	25.0	3.8	1.2	3.25	80.0	50.0
0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	37.0	3.6	1.8	2.75	40.0	45.0
1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	33.0	3.0	1.0	1.75	40.0	20.0
1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	24.0	3.2	1.8	3.5	30.0	30.0
0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	32.0	2.8	1.0	1.5	80.0	10.0
1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	42.0	3.8	2.0	3.0	65.0	60.0
0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	59.0	2.0	1.0	2.25	90.0	0.0
0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	41.0	2.4	1.0	2.75	10.0	47.0
1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	46.0	3.0	1.2	2.5	90.0	1.0
0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	73.0	1.6	1.0	2.75	0.0	0.0
0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	29.0	3.8	1.2	3.5	1.0	70.0
1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	37.0	3.0	1.6	3.0	30.0	40.0
0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	36.0	2.2	1.0	2.0	46.0	50.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	36.0	3.0	1.0	3.0	25.0	60.0
0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	20.0	3.4	2.6	3.0	24.0	24.0
1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	48.0	3.6	1.0	3.5	85.0	10.0
0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	32.0	2.4	1.2	3.0	50.0	50.0
