	feature	feature_idx	coef	se	t	p	r2
40	x40	37	5.569036158073278e-05	0.00010258587026527051	0.5428658102400115	0.5872222581729771	0.644556636965187
41	x433	340	5.225480145666787e-05	0.00010261913104345637	0.509211108351126	0.6106043137903138	0.644556636965187
42	x101	91	-4.6285469623242504e-05	0.00010264922631323166	-0.45090909386889577	0.6520551179124734	0.644556636965187
43	x420	328	4.486511647004169e-05	0.00010260382452144462	0.4372655374134197	0.6619188325435643	0.644556636965187
44	x184	168	-4.3916653978256434e-05	0.0001025921789714639	-0.4280701942247653	0.6686000622344411	0.644556636965187
45	x478	375	4.2627535221533756e-05	0.0001026268571323745	0.4153643248233755	0.6778752631686654	0.644556636965187
46	x559	427	4.0556970937250544e-05	0.00010264489605148231	0.3951192168084899	0.6927549495107057	0.644556636965187
47	x211	186	-3.922057613472044e-05	0.00010258040491551839	-0.38233984518798814	0.7022093440653432	0.644556636965187
48	x571	439	3.601868756695827e-05	0.00010259414153713848	0.35107937965365904	0.7255288341888785	0.644556636965187
49	x130	120	-3.118895786037471e-05	0.00010265299922557599	-0.3038289976490427	0.7612582051043253	0.644556636965187
50	x76	68	-2.8795104806886414e-05	0.00010263393947397242	-0.2805612349527784	0.7790469812436227	0.644556636965187
51	x320	262	-2.5522644337131302e-05	0.00010259279539391654	-0.24877618588258804	0.8035339385384153	0.644556636965187
52	x85	77	-2.1787801362856342e-05	0.00010257632982075005	-0.21240574117761926	0.8317905288021465	0.644556636965187
53	x484	379	1.9776695784208506e-05	0.00010263709113733261	0.192685661343875	0.8472051731726541	0.644556636965187
54	x354	287	-1.060527701907751e-05	0.00010257717083067603	-0.10338827765666908	0.9176548257302962	0.644556636965187
55	x143	132	7.525908330104016e-06	0.00010267958844921049	0.07329507688693783	0.9415713165697757	0.644556636965187
56	x29	26	-5.980227537600816e-06	0.00010261614967152602	-0.05827764495884425	0.953527479806126	0.644556636965187
57	x28	25	-3.0571188689956544e-06	0.00010261977324443437	-0.029790738883370693	0.9762339477632593	0.644556636965187
58	x441	348	-2.0321300755514243e-06	0.00010261699146326654	-0.019803056458528694	0.984200481636698	0.644556636965187
59	x196	173	-5.938888231354327e-07	0.0001026403813813296	-0.005786112786633329	0.9953833762776758	0.644556636965187
