	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
34	0	x249	209	50	1.0	50	-0.0003210536664829132	3.0662417549963822e-06	-0.00032411990823790957	-0.00031798742472791683
35	0	x414	323	50	1.0	50	-0.00033482762975033976	2.8974341755661106e-06	-0.0003377250639259059	-0.00033193019557477364
36	0	x36	33	50	1.0	50	-0.0005347289332726906	3.4960789017387443e-06	-0.0005382250121744294	-0.0005312328543709519
37	0	x501	394	50	1.0	50	-0.0005841441949110829	3.263830239369052e-06	-0.000587408025150452	-0.0005808803646717138
38	0	x41	38	50	1.0	50	-0.0007289104766351432	3.2576156403900925e-06	-0.0007321680922755333	-0.0007256528609947531
39	0	x317	259	50	1.0	50	-0.0007520581962209713	3.266255763091045e-06	-0.0007553244519840624	-0.0007487919404578803
40	0	x292	239	50	1.0	50	-0.0008795762955760388	3.4887386198179867e-06	-0.0008830650341958568	-0.0008760875569562207
41	0	x528	407	50	1.0	50	-0.000957843696190335	3.250257282987251e-06	-0.0009610939534733222	-0.0009545934389073477
42	0	x576	444	50	1.0	50	-0.0011647681095546163	3.6836685778151674e-06	-0.0011684517781324316	-0.001161084440976801
43	0	x391	311	50	1.0	50	-0.0011723519249596578	3.4024188048890947e-06	-0.0011757543437645468	-0.0011689495061547688
44	0	x281	229	50	1.0	50	-0.0011863244192185983	2.810365557949222e-06	-0.0011891347847765475	-0.0011835140536606492
45	0	x474	371	50	1.0	50	-0.0012145122486554585	3.971739952966547e-06	-0.001218483988608425	-0.001210540508702492
46	0	x118	108	50	1.0	50	-0.0012260121756075216	2.491095603946875e-06	-0.0012285032712114686	-0.0012235210800035747
47	0	x148	137	50	1.0	50	-0.0016259657708150932	2.697121565481295e-06	-0.0016286628923805745	-0.001623268649249612
48	0	x550	418	50	1.0	50	-0.0017877945036309615	2.8166644533574888e-06	-0.001790611168084319	-0.001784977839177604
49	0	x23	20	50	1.0	50	-0.0018001342214660104	3.1621593100979974e-06	-0.0018032963807761084	-0.0017969720621559123
50	0	x390	310	50	1.0	50	-0.0019679933745018257	2.8795457572798982e-06	-0.0019708729202591057	-0.0019651138287445457
51	0	x527	406	50	1.0	50	-0.002250130062617131	2.8907456733056397e-06	-0.002253020808290437	-0.002247239316943825
52	0	x578	446	50	1.0	50	-0.002473653668332507	3.1196030362362982e-06	-0.0024767732713687433	-0.002470534065296271
53	0	x39	36	50	1.0	50	-0.002505471713976099	2.952691897593159e-06	-0.0025084244058736923	-0.002502519022078506
54	0	x4	3	50	1.0	50	-0.0026124137823472795	3.4338603644146667e-06	-0.0026158476427116943	-0.0026089799219828646
55	0	x318	260	50	1.0	50	-0.0027299285578215675	3.332012014221423e-06	-0.002733260569835789	-0.002726596545807346
56	0	x247	207	50	1.0	50	-0.0031889737599359353	2.60290148935547e-06	-0.0031915766614252906	-0.00318637085844658
57	0	x91	82	50	1.0	50	-0.0033613013394281927	3.164694232848319e-06	-0.003364466033661041	-0.0033581366451953445
58	0	x563	431	50	1.0	50	-0.006908768932072159	2.8915755879421645e-06	-0.0069116605076601015	-0.006905877356484217
59	0	x7	5	50	1.0	50	-0.008770680030370641	3.0593724922130204e-06	-0.008773739402862855	-0.008767620657878427
60	0	x116	106	50	1.0	50	-0.011116319554328784	3.715782379327594e-06	-0.011120035336708111	-0.011112603771949456
61	0	x141	131	50	1.0	50	-0.012191886532515558	2.610308658277486e-06	-0.012194496841173836	-0.01218927622385728
62	0	x435	342	16	0.32	16	0.00010504942717016815	3.213072235308911e-06	0.00010183635493485925	0.00010826249940547706
63	1	x386	306	50	1.0	50	0.13756233217620248	2.839515769990601e-05	0.13753393701850258	0.13759072733390237
64	1	x138	128	50	1.0	50	0.06751946490072741	3.035280286020559e-05	0.0674891120978672	0.06754981770358762
65	1	x92	83	50	1.0	50	0.05851682683192898	2.8431567777324965e-05	0.05848839526415165	0.058545258399706306
66	1	x559	427	50	1.0	50	0.05798066236596426	2.727775214396838e-05	0.05795338461382029	0.05800794011810823
67	1	x8	6	50	1.0	50	0.041153105167816575	3.1271835348406244e-05	0.04112183333246817	0.04118437700316498
68	1	x583	451	50	1.0	50	0.03323602336224291	2.990583633625361e-05	0.03320611752590666	0.03326592919857917
69	1	x378	302	50	1.0	50	0.029721299315783153	3.017120716943534e-05	0.029691128108613716	0.02975147052295259
70	1	x130	120	50	1.0	50	0.029417576265230835	3.283371420488014e-05	0.029384742551025956	0.029450409979435713
71	1	x407	316	50	1.0	50	0.02509276686942663	3.6707970580833605e-05	0.025056058898845796	0.025129474840007465
72	1	x101	91	50	1.0	50	0.024699817425869484	2.9171409250057605e-05	0.024670646016619426	0.024728988835119543
73	1	x20	17	50	1.0	50	0.022200028151560212	2.9021514131770088e-05	0.022171006637428443	0.02222904966569198
74	1	x162	148	50	1.0	50	0.015537461243720789	2.9136092168603933e-05	0.015508325151552186	0.015566597335889392
75	1	x320	262	50	1.0	50	0.015135946665270327	2.9511825951210623e-05	0.015106434839319116	0.015165458491221539
76	1	x578	446	50	1.0	50	0.01441920479615795	3.1341934997297275e-05	0.014387862861160653	0.014450546731155247
77	1	x297	242	50	1.0	50	0.014377741096016689	3.448953020761391e-05	0.014343251565809075	0.014412230626224303
78	1	x17	14	50	1.0	50	0.013599248256700764	2.750399621010655e-05	0.013571744260490657	0.013626752252910872
79	1	x276	225	50	1.0	50	0.012794259047166818	2.8439305218158944e-05	0.012765819741948658	0.012822698352384978
80	1	x313	258	50	1.0	50	0.012391068971143504	3.116523008633004e-05	0.012359903741057174	0.012422234201229834
81	1	x196	173	50	1.0	50	0.011911339504886088	2.7249854684972084e-05	0.011884089650201116	0.01193858935957106
82	1	x497	391	50	1.0	50	0.009686640356687145	2.8432830316204875e-05	0.00965820752637094	0.00971507318700335
83	1	x51	46	50	1.0	50	0.009082355743867475	2.6205027896507072e-05	0.009056150715970967	0.009108560771763983
84	1	x433	340	50	1.0	50	0.007655101642002951	3.274922873964528e-05	0.007622352413263305	0.0076878508707425965
85	1	x445	352	50	1.0	50	0.006837978045070227	2.5370444480776427e-05	0.006812607600589451	0.006863348489551003
86	1	x125	115	50	1.0	50	0.00679036705210271	2.6311297821523827e-05	0.006764055754281186	0.006816678349924233
87	1	x571	439	50	1.0	50	0.006350779413340822	2.9441138099918276e-05	0.006321338275240903	0.00638022055144074
88	1	x76	68	50	1.0	50	0.006267506897832288	2.842568039707643e-05	0.006239081217435211	0.006295932578229364
89	1	x347	281	50	1.0	50	0.005709318253418355	2.788822543316561e-05	0.00568143002798519	0.005737206478851521
90	1	x184	168	50	1.0	50	0.005214751074528135	3.6325969765358906e-05	0.005178425104762776	0.005251077044293493
91	1	x478	375	50	1.0	50	0.005189027962277231	2.6538564925363575e-05	0.005162489397351867	0.0052155665272025946
92	1	x431	338	50	1.0	50	0.0032986254990185152	3.304419983365948e-05	0.0032655812991848557	0.0033316696988521747
93	1	x491	386	50	1.0	50	0.003290705220726246	3.230462701865233e-05	0.0032584005937075938	0.003323009847744898
94	1	x411	320	50	1.0	50	0.002488624840756884	2.368893818923347e-05	0.0024649359025676505	0.002512313778946117
95	1	x484	379	50	1.0	50	0.0019916319543874087	2.6211121465347678e-05	0.001965420832922061	0.0020178430758527564
96	1	x474	371	50	1.0	50	0.0016665754362423665	3.232586208788164e-05	0.0016342495741544848	0.0016989012983302481
97	1	x85	77	50	1.0	50	-0.0016734625384326248	3.230467533874403e-05	-0.0017057672137713688	-0.0016411578630938807
98	1	x418	326	50	1.0	50	-0.0016946034350664037	2.3952460787865685e-05	-0.0017185558958542693	-0.0016706509742785381
99	1	x441	348	50	1.0	50	-0.0028965064136784713	2.71371922463482e-05	-0.0029236436059248195	-0.002869369221432123
100	1	x143	132	50	1.0	50	-0.002896823935390599	2.759630391353885e-05	-0.0029244202393041378	-0.00286922763147706
101	1	x556	424	50	1.0	50	-0.00319337021722298	2.1893392098130357e-05	-0.0032152636093211104	-0.00317147682512485
102	1	x66	60	50	1.0	50	-0.0039030959760337426	3.1409397137480355e-05	-0.003934505373171223	-0.003871686578896262
103	1	x216	191	50	1.0	50	-0.004571441815092854	2.9839934893187534e-05	-0.004601281749986042	-0.004541601880199667
104	1	x458	362	50	1.0	50	-0.005693318628990437	3.0428502575451783e-05	-0.005723747131565889	-0.0056628901264149855
105	1	x118	108	50	1.0	50	-0.005706261570861443	2.752770519845297e-05	-0.005733789276059896	-0.00567873386566299
106	1	x74	67	50	1.0	50	-0.005842970696252757	3.039334960523696e-05	-0.005873364045857994	-0.00581257734664752
107	1	x211	186	50	1.0	50	-0.006733597572385973	3.0454999063663958e-05	-0.006764052571449637	-0.0067031425733223085
108	1	x354	287	50	1.0	50	-0.0072599262210722056	2.8008772894822494e-05	-0.007287934993967028	-0.007231917448177383
109	1	x112	102	50	1.0	50	-0.009125340716258782	2.87427243687499e-05	-0.009154083440627533	-0.009096597991890032
110	1	x91	82	50	1.0	50	-0.011492714189087587	3.091707962585416e-05	-0.011523631268713442	-0.011461797109461732
111	1	x554	422	50	1.0	50	-0.01196117617998456	3.2291978349319974e-05	-0.011993468158333881	-0.01192888420163524
112	1	x16	13	50	1.0	50	-0.016765454981399613	2.4451600848759185e-05	-0.01678990658224837	-0.016741003380550856
113	1	x550	418	50	1.0	50	-0.01752195490131378	2.6605590145924414e-05	-0.017548560491459704	-0.017495349311167856
114	1	x40	37	50	1.0	50	-0.01821366770193158	2.7629205349488477e-05	-0.01824129690728107	-0.018186038496582093
115	1	x41	38	50	1.0	50	-0.022007731532644476	2.7415470883357637e-05	-0.022035147003527832	-0.02198031606176112
116	1	x103	93	50	1.0	50	-0.027925313218855864	2.807653135055986e-05	-0.027953389750206423	-0.027897236687505305
117	1	x36	33	50	1.0	50	-0.03392262658796758	2.7267428014229018e-05	-0.03394989401598181	-0.033895359159953356
118	1	x29	26	50	1.0	50	-0.03670919268919667	3.0192642916640242e-05	-0.03673938533211331	-0.036679000046280025
119	1	x117	107	50	1.0	50	-0.05252645326045405	3.2164612885987965e-05	-0.052558617873340034	-0.05249428864756806
120	1	x420	328	50	1.0	50	-0.0698991180928076	2.2858061071933023e-05	-0.06992197615387954	-0.06987626003173567
121	1	x28	25	50	1.0	50	-0.07346757445813226	3.322169713430035e-05	-0.07350079615526656	-0.07343435276099797
