	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
61	1	x342	277	50	1.0	50	0.0062846083411599064	1.2487797731707315e-05	0.006272120543428199	0.006297096138891614
62	1	x40	37	50	1.0	50	0.005981943638456333	1.9121757062360672e-05	0.005962821881393973	0.006001065395518693
63	1	x387	307	50	1.0	50	0.005912434791787657	1.6273715196312815e-05	0.005896161076591345	0.00592870850698397
64	1	x575	443	50	1.0	50	0.005876023109507533	1.4872652391578904e-05	0.005861150457115954	0.0058908957618991125
65	1	x386	306	50	1.0	50	0.005623849919506902	1.749632256979809e-05	0.0056063535969371045	0.0056413462420767
66	1	x344	278	50	1.0	50	0.005367033170629777	1.599607499369578e-05	0.005351037095636081	0.005383029245623473
67	1	x439	346	50	1.0	50	0.005183014195331129	1.9957024888444477e-05	0.005163057170442685	0.005202971220219574
68	1	x488	383	50	1.0	50	0.004927759628675753	1.6893188838602527e-05	0.004910866439837151	0.004944652817514356
69	1	x432	339	50	1.0	50	0.004759527301678482	1.7842191908263836e-05	0.004741685109770218	0.004777369493586746
70	1	x548	416	50	1.0	50	0.004754916324327374	2.023517941063924e-05	0.004734681144916734	0.004775151503738013
71	1	x256	216	50	1.0	50	0.004357370934640376	1.6399544527031433e-05	0.004340971390113344	0.004373770479167407
72	1	x460	363	50	1.0	50	0.004286190144051371	1.4567272466969784e-05	0.004271622871584401	0.004300757416518341
73	1	x153	141	50	1.0	50	0.004257510413773438	1.8560462107195437e-05	0.004238949951666243	0.0042760708758806335
74	1	x220	195	50	1.0	50	0.00422514769117004	1.647525019340809e-05	0.004208672440976632	0.004241622941363448
75	1	x406	315	50	1.0	50	0.004063231391103364	1.7580063760351038e-05	0.004045651327343013	0.0040808114548637146
76	1	x154	142	50	1.0	50	0.004035462022077776	1.638768327795539e-05	0.004019074338799821	0.004051849705355732
77	1	x160	146	50	1.0	50	0.003979585705296239	1.4228163004439467e-05	0.003965357542291799	0.0039938138683006785
78	1	x559	427	50	1.0	50	0.003542083857298709	1.651629531835877e-05	0.0035255675619803506	0.0035586001526170677
79	1	x440	347	50	1.0	50	0.0032690754241122243	1.726748036142362e-05	0.003251807943750801	0.0032863429044736477
80	1	x311	256	50	1.0	50	0.0031077504266013465	1.785733503745178e-05	0.0030898930915638947	0.0031256077616387983
81	1	x172	158	50	1.0	50	0.003088801874336407	1.7173087257300916e-05	0.003071628787079106	0.003105974961593708
82	1	x136	126	50	1.0	50	0.003029171000057616	1.4696483812337916e-05	0.003014474516245278	0.003043867483869954
83	1	x443	350	50	1.0	50	0.0029670341325244492	1.4884397069925176e-05	0.002952149735454524	0.0029819185295943745
84	1	x279	227	50	1.0	50	0.00289686421414385	1.8051679980141574e-05	0.0028788125341637086	0.0029149158941239916
85	1	x291	238	50	1.0	50	0.0024716607645661874	1.59806637099137e-05	0.002455680100856274	0.002487641428276101
86	1	x368	299	50	1.0	50	0.0023681955939574774	1.664189435894708e-05	0.0023515536995985303	0.0023848374883164245
87	1	x138	128	50	1.0	50	0.002053669517194833	1.6853896037459504e-05	0.0020368156211573738	0.0020705234132322925
88	1	x95	86	50	1.0	50	0.0017371890701977726	1.841556479385957e-05	0.001718773505403913	0.0017556046349916322
89	1	x223	197	50	1.0	50	0.001656538936966553	1.742371620036705e-05	0.0016391152207661862	0.00167396265316692
90	1	x590	458	50	1.0	50	0.0013950252026732391	1.6081714420026448e-05	0.0013789434882532127	0.0014111069170932656
91	1	x553	421	50	1.0	50	0.001233304512430105	1.518413084740841e-05	0.0012181203815826967	0.0012484886432775134
92	1	x305	250	50	1.0	50	0.000988816317036301	1.883360858907987e-05	0.0009699827084472212	0.001007649925625381
93	1	x5	4	50	1.0	50	-0.0009124110793983182	1.7270244634593174e-05	-0.0009296813240329114	-0.000895140834763725
94	1	x118	108	50	1.0	50	-0.0012777114191723175	1.7258364322331214e-05	-0.0012949697834946487	-0.0012604530548499862
95	1	x281	229	50	1.0	50	-0.0014536655084150837	1.5542147258855037e-05	-0.0014692076556739387	-0.0014381233611562288
96	1	x269	218	50	1.0	50	-0.0016916922464619553	1.671685094982729e-05	-0.0017084090974117826	-0.001674975395512128
97	1	x414	323	50	1.0	50	-0.0023152817018579188	1.6315438798977075e-05	-0.0023315971406568958	-0.0022989662630589418
98	1	x85	77	50	1.0	50	-0.00243867358598879	1.6542814399786583e-05	-0.002455216400388577	-0.0024221307715890034
99	1	x312	257	50	1.0	50	-0.0027084257894849743	1.6099923258781513e-05	-0.0027245257127437557	-0.002692325866226193
100	1	x571	439	50	1.0	50	-0.002842311839949187	1.635495508545092e-05	-0.002858666795034638	-0.0028259568848637362
101	1	x116	106	50	1.0	50	-0.0031661081602076618	1.3688733102375989e-05	-0.003179796893310038	-0.0031524194271052857
102	1	x578	446	50	1.0	50	-0.003689503819522713	1.6730012254414874e-05	-0.003706233831777128	-0.003672773807268298
103	1	x292	239	50	1.0	50	-0.00375364240471659	1.4510221765112484e-05	-0.0037681526264817023	-0.0037391321829514774
104	1	x82	74	50	1.0	50	-0.00419316913999762	1.7377850929953497e-05	-0.004210546990927573	-0.004175791289067667
105	1	x9	7	50	1.0	50	-0.004346749779561771	1.49094529581721e-05	-0.004361659232519943	-0.004331840326603598
