	feature	feature_idx	coef	se	t	p	r2
22	x1	0	-0.02423419664380587	5.022078276124124e-05	-482.5531445620762	0.0	0.5791491171786263
23	x144	133	-0.00884082240359424	5.0244026525730616e-05	-175.9576812393159	0.0	0.5791491171786263
24	x518	398	-0.005918920490925625	5.026462544554817e-05	-117.75518942914657	0.0	0.5791491171786263
25	x103	93	-0.00925294236302495	5.020322325243424e-05	-184.30972681771576	0.0	0.5791491171786263
26	x324	265	-0.005724968744993687	5.019007687836852e-05	-114.065749667363	0.0	0.5791491171786263
27	x247	207	-0.006883713613257534	5.0233536279073623e-05	-137.03422301418112	0.0	0.5791491171786263
28	x280	228	-0.002637091456808027	5.023274068876821e-05	-52.497463221186884	0.0	0.5791491171786263
29	x274	223	-0.009947944988153275	5.0212615648480986e-05	-198.11644662757607	0.0	0.5791491171786263
30	x578	446	-0.00660442819517297	5.024246991969025e-05	-131.45110512540037	0.0	0.5791491171786263
31	x512	396	-0.0042787249310806364	5.024446093970161e-05	-85.15814183409262	0.0	0.5791491171786263
32	x200	177	-0.004204282737139499	5.0249190030785466e-05	-83.66866678972775	0.0	0.5791491171786263
33	x36	33	-0.004047799176062845	5.022970937731776e-05	-80.58575743802155	0.0	0.5791491171786263
34	x474	371	-0.005256539927857378	5.0224469396593316e-05	-104.66093501853749	0.0	0.5791491171786263
35	x390	310	-0.00666048168203325	5.0212928084309484e-05	-132.64475775740542	0.0	0.5791491171786263
36	x18	15	-0.0040807563030992354	5.023727019280939e-05	-81.22965852717304	0.0	0.5791491171786263
37	x282	230	-0.005670490435056932	5.022502461226626e-05	-112.90169549607448	0.0	0.5791491171786263
38	x46	42	0.010447893032948699	5.0230357925248724e-05	207.99957365418206	0.0	0.5791491171786263
39	x7	5	-0.019739170732684313	5.0245724818898204e-05	-392.85274127959445	0.0	0.5791491171786263
40	x440	347	0.0030584304055800535	5.0215526348926324e-05	60.9060708500459	0.0	0.5791491171786263
41	x20	17	0.016003224560489443	5.022739234397091e-05	318.61547680785395	0.0	0.5791491171786263
42	x480	376	0.003623843156332827	5.024614524945849e-05	72.12181428727375	0.0	0.5791491171786263
43	x153	141	0.009878357327998476	5.025590427282038e-05	196.56112989973465	0.0	0.5791491171786263
44	x488	383	0.0033740960371303292	5.0208499009540264e-05	67.20169102225516	0.0	0.5791491171786263
45	x208	184	0.0044918306493208935	5.022856281826567e-05	89.42781551550654	0.0	0.5791491171786263
46	x102	92	0.004341438335924863	5.0214218208475354e-05	86.45834767157837	0.0	0.5791491171786263
47	x386	306	0.003383519296149768	5.023230499175317e-05	67.35743654815867	0.0	0.5791491171786263
48	x246	206	0.0035141172105746707	5.0183010363617324e-05	70.02603441108836	0.0	0.5791491171786263
49	x287	234	0.0036074934744152174	5.0242837030292704e-05	71.80114992790249	0.0	0.5791491171786263
50	x426	333	0.01051397991724984	5.0217787962596834e-05	209.36764329565557	0.0	0.5791491171786263
51	x223	197	0.0038079572538599698	5.0229549319781173e-05	75.8110973605797	0.0	0.5791491171786263
52	x240	204	0.004736387695443413	5.023831239087185e-05	94.27839969210432	0.0	0.5791491171786263
53	x525	404	0.004702049496681694	5.02421858837678e-05	93.58767764522817	0.0	0.5791491171786263
54	x361	293	0.00479727531049145	5.0243151668508915e-05	95.48117805472495	0.0	0.5791491171786263
55	x554	422	0.005470808380757577	5.02484203909141e-05	108.87523106590643	0.0	0.5791491171786263
56	x358	291	0.009538441851913916	5.0229172989819256e-05	189.89844514953936	0.0	0.5791491171786263
57	x470	367	0.0161924175850104	5.0214540439856425e-05	322.4647172546482	0.0	0.5791491171786263
58	x253	213	0.007147352534933865	5.022601120769459e-05	142.30380559941608	0.0	0.5791491171786263
59	x585	453	0.009033815313049167	5.0223515924348474e-05	179.87222014995476	0.0	0.5791491171786263
60	x588	456	0.01605797113578708	5.02396112498421e-05	319.6276948866229	0.0	0.5791491171786263
61	x164	150	0.009422543876715556	5.020276000987008e-05	187.68975799065717	0.0	0.5791491171786263
62	x587	455	0.004265672571030156	5.0219663555805126e-05	84.94028571677015	0.0	0.5791491171786263
63	x378	302	0.007653508054129808	5.024272891902338e-05	152.33065995410064	0.0	0.5791491171786263
64	x495	389	0.002102498050784185	5.0197234002122516e-05	41.88473912118911	0.0	0.5791491171786263
65	x224	198	0.0020080160757385336	5.024086733672357e-05	39.96778284659059	0.0	0.5791491171786263
66	x291	238	0.03009729083856064	5.0214620106316804e-05	599.3730665459026	0.0	0.5791491171786263
67	x220	195	0.004424114298758637	5.026375411804689e-05	88.01798386106194	0.0	0.5791491171786263
68	x106	96	0.0027343307153326574	5.0215794091629725e-05	54.451607602645325	0.0	0.5791491171786263
69	x87	78	0.025018281825317	5.022670242327243e-05	498.10719434618574	0.0	0.5791491171786263
70	x114	104	0.0025154251779471557	5.022787507511888e-05	50.08026268650988	0.0	0.5791491171786263
71	x217	192	0.01741112287469546	5.0243180896452494e-05	346.5370337634177	0.0	0.5791491171786263
72	x111	101	0.0030757895186639328	5.022181351678899e-05	61.24409501133818	0.0	0.5791491171786263
73	x461	364	0.016867704531210996	5.020101326660975e-05	336.0032683330364	0.0	0.5791491171786263
74	x406	315	0.0032953829975508778	5.02365157714854e-05	65.59736372922104	0.0	0.5791491171786263
75	x478	375	0.004576447907692781	5.023777586849049e-05	91.09575072894825	0.0	0.5791491171786263
76	x492	387	0.002035181266440043	5.021071622263732e-05	40.532806929419756	0.0	0.5791491171786263
77	x85	77	-0.0017740928857889913	5.0250017945023846e-05	-35.305318452422085	5.910904942252699e-273	0.5791491171786263
78	x3	2	-0.0016971328755131796	5.021783320275784e-05	-33.79542220909638	2.7109271990248916e-250	0.5791491171786263
79	x161	147	0.0015803770292772508	5.023196656640212e-05	31.461579892320863	3.295565649891438e-217	0.5791491171786263
80	x278	226	0.0015347904466866506	5.0210751264253906e-05	30.566968389084835	3.7536008566300854e-205	0.5791491171786263
81	x339	274	0.0015321935306851957	5.024798302221303e-05	30.49263748572479	3.635728781343883e-204	0.5791491171786263
82	x8	6	0.0015076074149952057	5.023449711193325e-05	30.01139658342618	7.713820950326977e-198	0.5791491171786263
