	feature	feature_idx	coef	se	t	p	r2
37	x282	230	-0.0198488174458841	0.0001470031850037	-135.023043516916	0.0	0.6128953640372568
38	x378	302	-0.0708689192708174	0.0001469119215531	-482.39052706938594	0.0	0.6128953640372568
39	x141	131	-0.0715537037300144	0.0001469589203402	-486.8959540825768	0.0	0.6128953640372568
40	x469	366	0.0126580296922993	0.0001469475456624	86.13978297652318	0.0	0.6128953640372568
41	x134	124	0.0071076449287291	0.0001469177844655	48.37838356046815	0.0	0.6128953640372568
42	x8	6	0.0072545483038253	0.0001469252532161	49.37577540297724	0.0	0.6128953640372568
43	x495	389	0.0074023206922401	0.000146918268645	50.38393632398664	0.0	0.6128953640372568
44	x163	149	0.009374144279176	0.0001470181214843	63.76182870880291	0.0	0.6128953640372568
45	x66	60	0.0096032511566065	0.0001469729824242	65.34024824292916	0.0	0.6128953640372568
46	x413	322	0.0102285405388944	0.0001470280534764	69.5686319518066	0.0	0.6128953640372568
47	x246	206	0.012742860493056	0.0001469025031089	86.7436580274367	0.0	0.6128953640372568
48	x440	347	0.0062355115252672	0.0001469610864224	42.42967765863155	0.0	0.6128953640372568
49	x302	247	0.0058191850328912	0.000146956020476	39.59813972943156	0.0	0.6128953640372568
50	x218	193	0.0131844281162646	0.000146919947985	89.73885641184829	0.0	0.6128953640372568
51	x29	26	0.0130193076658532	0.0001469574775501	88.59234577847003	0.0	0.6128953640372568
52	x223	197	0.0131964145394145	0.000146981354969	89.78291526970567	0.0	0.6128953640372568
53	x488	383	0.0134756546538123	0.0001468719278491	91.75105720445356	0.0	0.6128953640372568
54	x587	455	0.0134471825601071	0.0001469644806019	91.49954128389928	0.0	0.6128953640372568
55	x339	274	0.0136193729254841	0.0001469384275265	92.68761858106036	0.0	0.6128953640372568
56	x552	420	0.0141710670551335	0.0001469444870392	96.43823555862086	0.0	0.6128953640372568
57	x287	234	0.0127619523786372	0.000146944576181	86.84874740058162	0.0	0.6128953640372568
58	x164	150	0.0149711910593364	0.0001468877765527	101.92264741619871	0.0	0.6128953640372568
59	x478	375	0.0061903657862793	0.0001469902548353	42.114123777875264	0.0	0.6128953640372568
60	x342	277	0.0180039131419423	0.0001470310702043	122.44971839573589	0.0	0.6128953640372568
61	x291	238	0.1263668834193003	0.0001469797665551	859.757001804183	0.0	0.6128953640372568
62	x125	115	0.1023694108459812	0.0001470048367107	696.3676375313573	0.0	0.6128953640372568
63	x461	364	0.0605645013703107	0.0001470398524721	411.89174466672125	0.0	0.6128953640372568
64	x87	78	0.0586905077763126	0.0001468819283271	399.57609792250895	0.0	0.6128953640372568
65	x217	192	0.0399455440101628	0.0001469109019693	271.903197616304	0.0	0.6128953640372568
66	x46	42	0.0393064702258674	0.0001469254085299	267.52670364602176	0.0	0.6128953640372568
67	x153	141	0.0365079024618143	0.0001469481624935	248.44068712606625	0.0	0.6128953640372568
68	x16	13	0.0177380364000263	0.0001470206261794	120.6499853862525	0.0	0.6128953640372568
69	x114	104	0.0055505500878622	0.0001470041370109	37.75778152045672	0.0	0.6128953640372568
70	x588	456	0.029210084363958	0.000146967954882	198.7513835067662	0.0	0.6128953640372568
71	x561	429	0.0288629652064864	0.000146965825133	196.39235979087857	0.0	0.6128953640372568
72	x253	213	0.02542100439663	0.0001469718948241	172.96507217964572	0.0	0.6128953640372568
73	x20	17	0.0207904811088015	0.0001469877373776	141.44364339306176	0.0	0.6128953640372568
74	x426	333	0.0208339110126197	0.0001470649039838	141.6647374611727	0.0	0.6128953640372568
75	x484	379	0.0203740218966743	0.0001469893234142	138.6088555510461	0.0	0.6128953640372568
76	x525	404	0.0201631000449012	0.000146973549225	137.18863122794102	0.0	0.6128953640372568
77	x585	453	0.0333785622306631	0.0001469656363841	227.1181417090996	0.0	0.6128953640372568
78	x361	293	0.0163879114492901	0.0001469830386294	111.49525552130754	0.0	0.6128953640372568
79	x206	183	0.0049811562707908	0.0001469386770176	33.899558454519486	7.977769943478466e-252	0.6128953640372568
80	x3	2	-0.0047976191313159	0.0001469575628183	-32.64628944102501	1.042862792773482e-233	0.6128953640372568
81	x576	444	-0.0046684753103921	0.0001468746734747	-31.785434479237725	1.1692980771435545e-221	0.6128953640372568
82	x434	341	0.0046585573984732	0.0001469624044679	31.69897372963484	1.821405414388556e-220	0.6128953640372568
83	x146	135	-0.0045351731321263	0.0001469287370812	-30.8664814128048	3.77201607366387e-209	0.6128953640372568
84	x4	3	-0.0043608774851965	0.000146953155031	-29.675289953972303	1.7636772418297642e-193	0.6128953640372568
85	x358	291	0.0042684935754343	0.0001469938067345	29.03859468815613	2.343683073645237e-185	0.6128953640372568
86	x420	328	0.0039478680398926	0.0001469371777884	26.867727414620145	5.589275111048759e-159	0.6128953640372568
