	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
42	0	x420	328	50	1.0	50	0.003881818645931391	3.322723923266533e-05	0.0038485914066987256	0.0039150458851640564
43	0	x160	146	50	1.0	50	0.0035063506281948352	3.5919754462815315e-05	0.00347043087373202	0.0035422703826576505
44	0	x84	76	50	1.0	50	0.003115377370341369	3.124168281536036e-05	0.0030841356875260088	0.0031466190531567293
45	0	x154	142	50	1.0	50	0.0030603522009305436	2.7881096003390323e-05	0.0030324711049271535	0.0030882332969339337
46	0	x335	270	50	1.0	50	0.002476765035180994	3.511286550481476e-05	0.0024416521696761792	0.002511877900685809
47	0	x438	345	50	1.0	50	0.001434845785035048	3.066982973135787e-05	0.00140417595530369	0.0014655156147664059
48	0	x88	79	50	1.0	50	-0.0021701347188770926	3.5383441210138916e-05	-0.0022055181600872317	-0.0021347512776669535
49	0	x181	165	50	1.0	50	-0.0023612083072471037	3.403022471291966e-05	-0.0023952385319600234	-0.002327178082534184
50	0	x281	229	50	1.0	50	-0.002440852700709856	3.2587364241590216e-05	-0.002473440064951446	-0.0024082653364682657
51	0	x318	260	50	1.0	50	-0.002930119134953845	3.6962646541095594e-05	-0.0029670817814949407	-0.0028931564884127495
52	0	x79	71	50	1.0	50	-0.0035454638999421347	2.961789127211613e-05	-0.0035750817912142507	-0.0035158460086700187
53	0	x583	451	50	1.0	50	-0.004196818048527139	4.383422388615675e-05	-0.004240652272413295	-0.004152983824640982
54	0	x4	3	50	1.0	50	-0.004546235896880438	3.4051542246049796e-05	-0.0045802874391264875	-0.0045121843546343885
55	0	x576	444	50	1.0	50	-0.00463051201965458	3.4193794721734726e-05	-0.0046647058143763145	-0.004596318224932845
56	0	x146	135	50	1.0	50	-0.004821055449463098	3.269892201793324e-05	-0.004853754371481032	-0.0047883565274451645
57	0	x3	2	50	1.0	50	-0.004898200619641671	3.226653238939739e-05	-0.004930467152031069	-0.004865934087252274
58	0	x391	311	50	1.0	50	-0.005826994848205003	3.261676262771161e-05	-0.005859611610832715	-0.005794378085577291
59	0	x486	381	50	1.0	50	-0.005897318147872803	3.534545778354107e-05	-0.005932663605656344	-0.005861972690089262
60	0	x528	407	50	1.0	50	-0.006076791526711553	3.253866631530233e-05	-0.0061093301930268545	-0.006044252860396251
61	0	x280	228	50	1.0	50	-0.006356371001286938	3.211078909804849e-05	-0.006388481790384986	-0.00632426021218889
62	0	x9	7	50	1.0	50	-0.006863089511331594	3.0414975931889888e-05	-0.006893504487263485	-0.006832674535399704
