	feature	feature_idx	coef	abs_coef	t	p	r2_model	df_resid	rng_seed	n_block	round_id	threshold	q_used	rank_p	cluster	x0_indices	p_oof_center	p_final_center
11	x32	29	0.049927328879908764	0.049927328879908764	166.17825061189274	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	12	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
12	x434	341	0.04765877781629277	0.04765877781629277	158.58475033732515	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	13	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
13	x292	239	0.0460569636165932	0.0460569636165932	153.2401633062455	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	14	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
14	x552	420	0.04489277977773151	0.04489277977773151	149.40678980676452	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	15	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
15	x248	208	0.043340516492989506	0.043340516492989506	144.1752044785258	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	16	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
16	x468	365	0.03778892630009404	0.03778892630009404	125.7368077445723	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	17	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
17	x417	325	-0.03730336260002683	0.03730336260002683	-124.06513335240348	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	18	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
18	x196	173	0.037275784690812636	0.037275784690812636	124.03749786887529	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	19	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
19	x386	306	0.03665258838154268	0.03665258838154268	121.85420208619483	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	20	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
20	x203	180	0.03643170543088596	0.03643170543088596	121.2379946841061	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	21	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
21	x433	340	0.03625394995502538	0.03625394995502538	120.52824634177757	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	22	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
22	x4	3	-0.03596312508604766	0.03596312508604766	-119.76733711764983	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	23	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
23	x28	25	-0.03585527172358152	0.03585527172358152	-119.26581522514074	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	24	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
24	x162	148	0.035674153839832065	0.035674153839832065	118.61027125029193	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	25	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
25	x8	6	0.03504375740148283	0.03504375740148283	116.54011616317273	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	26	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
26	x112	102	-0.03413877681611463	0.03413877681611463	-113.48047754048171	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	27	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
27	x19	16	0.03198000902216367	0.03198000902216367	106.45079407183519	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	28	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
28	x337	272	0.03164344746624603	0.03164344746624603	105.26563901754032	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	29	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
29	x287	234	-0.031150270960020533	0.031150270960020533	-103.61658372014993	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	30	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
30	x130	120	0.030824848446597483	0.030824848446597483	102.49194623002948	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	31	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
31	x297	242	0.030597872340211052	0.030597872340211052	101.74497272693499	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	32	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
32	x303	248	0.029202490885550558	0.029202490885550558	97.21633243872645	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	33	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
33	x541	409	0.027035895831980194	0.027035895831980194	89.91578150668006	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	34	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
34	x454	358	-0.02667200089076987	0.02667200089076987	-88.7059528546641	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	35	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
35	x419	327	-0.02498136418115051	0.02498136418115051	-83.11026380408329	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	36	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
36	x587	455	0.024018275592194063	0.024018275592194063	79.90070615904571	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	37	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
37	x7	5	0.022342105540014895	0.022342105540014895	74.36266426874026	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	38	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
38	x82	74	0.021717575593452543	0.021717575593452543	72.29433999855186	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	39	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
39	x394	314	-0.021302985141079346	0.021302985141079346	-70.8226015511751	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	40	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
40	x34	31	0.02114715289153682	0.02114715289153682	70.39402171338472	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	41	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
41	x83	75	-0.018888375528299153	0.018888375528299153	-62.857688621473606	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	42	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
42	x318	260	-0.0009572771247106078	0.0009572771247106078	-3.1837143045040146	0.001454040082183103	0.7875570980109792	799540	100042	800000	1	0.01	459	43	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
43	x136	126	-0.0009502589085352418	0.0009502589085352418	-3.1619906763846	0.0015670043253007198	0.7875570980109792	799540	100042	800000	1	0.01	459	44	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
44	x288	235	-0.0008873707019585302	0.0008873707019585302	-2.950682108992151	0.003170822590404324	0.7875570980109792	799540	100042	800000	1	0.01	459	45	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
45	x85	77	0.0008751942320015273	0.0008751942320015273	2.910920195901069	0.0036037599180604924	0.7875570980109792	799540	100042	800000	1	0.01	459	46	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
46	x120	110	-0.0007496746145984317	0.0007496746145984317	-2.495551986126669	0.01257633251439654	0.7875570980109792	799540	100042	800000	1	0.01	459	47	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
47	x47	43	0.0007235011139798965	0.0007235011139798965	2.4086649147840267	0.016011215471658354	0.7875570980109792	799540	100042	800000	1	0.01	459	48	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
48	x569	437	0.000716978760271353	0.000716978760271353	2.384726820334385	0.017092039656697713	0.7875570980109792	799540	100042	800000	1	0.01	459	49	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
49	x574	442	0.0007052538095890194	0.0007052538095890194	2.345744794851344	0.01898934742604459	0.7875570980109792	799540	100042	800000	1	0.01	459	50	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
50	x49	45	-0.0006802744300113081	0.0006802744300113081	-2.2628919546198074	0.02364261750583003	0.7875570980109792	799540	100042	800000	1	0.01	459	51	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
51	x284	232	-0.0006718194521993161	0.0006718194521993161	-2.2362743806009258	0.02533407825168544	0.7875570980109792	799540	100042	800000	1	0.01	459	52	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
52	x447	354	-0.000668760606589548	0.000668760606589548	-2.224197999767781	0.026135403728242745	0.7875570980109792	799540	100042	800000	1	0.01	459	53	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
53	x445	352	0.0006677193408635327	0.0006677193408635327	2.221142690929756	0.026341577349654734	0.7875570980109792	799540	100042	800000	1	0.01	459	54	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
54	x385	305	0.0006604089128020845	0.0006604089128020845	2.197305572123067	0.0279989157619124	0.7875570980109792	799540	100042	800000	1	0.01	459	55	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
55	x363	295	0.0006540664144496031	0.0006540664144496031	2.1774902270138408	0.029444301560875047	0.7875570980109792	799540	100042	800000	1	0.01	459	56	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
56	x76	68	-0.000653144589799057	0.000653144589799057	-2.1735931948189893	0.029735992390928556	0.7875570980109792	799540	100042	800000	1	0.01	459	57	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
57	x524	403	0.000652200828646943	0.000652200828646943	2.1694627631819023	0.03004786203438561	0.7875570980109792	799540	100042	800000	1	0.01	459	58	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
58	x449	356	0.0006497712043642488	0.0006497712043642488	2.1621867059038524	0.030604083449751438	0.7875570980109792	799540	100042	800000	1	0.01	459	59	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
59	x143	132	-0.0006440040934556574	0.0006440040934556574	-2.1434578417856236	0.032076653592784186	0.7875570980109792	799540	100042	800000	1	0.01	459	60	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
60	x245	205	0.0006224653150011739	0.0006224653150011739	2.070938504023284	0.03836486340316194	0.7875570980109792	799540	100042	800000	1	0.01	459	61	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
61	x113	103	0.0006140491814878026	0.0006140491814878026	2.043579334172186	0.04099544960915163	0.7875570980109792	799540	100042	800000	1	0.01	459	62	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
62	x473	370	-0.000614186567074126	0.000614186567074126	-2.0430200867558352	0.041050776902791034	0.7875570980109792	799540	100042	800000	1	0.01	459	63	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
63	x484	379	0.0006082955553346188	0.0006082955553346188	2.0245171409063163	0.042917301879941784	0.7875570980109792	799540	100042	800000	1	0.01	459	64	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
64	x55	49	0.0006054088446485201	0.0006054088446485201	2.0146572214431893	0.0439409115435994	0.7875570980109792	799540	100042	800000	1	0.01	459	65	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
65	x164	150	0.0006044656337471364	0.0006044656337471364	2.0108394298482524	0.04434275487614135	0.7875570980109792	799540	100042	800000	1	0.01	459	66	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
66	x42	39	0.0005971340478224373	0.0005971340478224373	1.9859134897808777	0.047043271529171586	0.7875570980109792	799540	100042	800000	1	0.01	459	67	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
67	x444	351	0.000585559048370587	0.000585559048370587	1.9495685800877256	0.051227910468319204	0.7875570980109792	799540	100042	800000	1	0.01	459	68	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
68	x387	307	0.0005854072216739253	0.0005854072216739253	1.9480991387609095	0.05140345128217888	0.7875570980109792	799540	100042	800000	1	0.01	459	69	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
69	x358	291	0.0005816112607291978	0.0005816112607291978	1.9356026449205315	0.05291673830333746	0.7875570980109792	799540	100042	800000	1	0.01	459	70	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
70	x41	38	0.000581199277955095	0.000581199277955095	1.9354081499089928	0.05294058215346502	0.7875570980109792	799540	100042	800000	1	0.01	459	71	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
71	x350	283	0.000578986093530493	0.000578986093530493	1.9254781451411345	0.05416992177742526	0.7875570980109792	799540	100042	800000	1	0.01	459	72	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
72	x62	56	-0.0005777091328858961	0.0005777091328858961	-1.923057013540226	0.05447324483113366	0.7875570980109792	799540	100042	800000	1	0.01	459	73	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
73	x361	293	0.000576776703377852	0.000576776703377852	1.917844769049626	0.05513105300365137	0.7875570980109792	799540	100042	800000	1	0.01	459	74	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
74	x57	51	-0.0005705811529741115	0.0005705811529741115	-1.8973595706314825	0.05778085764714507	0.7875570980109792	799540	100042	800000	1	0.01	459	75	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
75	x547	415	-0.0005663662753510329	0.0005663662753510329	-1.884908547587518	0.059442548244669456	0.7875570980109792	799540	100042	800000	1	0.01	459	76	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
76	x485	380	0.0005647024477506177	0.0005647024477506177	1.8781973898678421	0.06035453071727236	0.7875570980109792	799540	100042	800000	1	0.01	459	77	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
77	x388	308	0.0005571216427321119	0.0005571216427321119	1.85303380688651	0.06387788140379054	0.7875570980109792	799540	100042	800000	1	0.01	459	78	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
78	x446	353	0.0005570765300069347	0.0005570765300069347	1.8521194180459297	0.06400904505795535	0.7875570980109792	799540	100042	800000	1	0.01	459	79	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
79	x421	329	0.0005525784344813006	0.0005525784344813006	1.8385677362292907	0.06597916108115011	0.7875570980109792	799540	100042	800000	1	0.01	459	80	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
80	x197	174	0.0005522419271754338	0.0005522419271754338	1.8365005439541164	0.06628403274989456	0.7875570980109792	799540	100042	800000	1	0.01	459	81	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
81	x123	113	-0.0005440861436650483	0.0005440861436650483	-1.809483054394333	0.07037636579818311	0.7875570980109792	799540	100042	800000	1	0.01	459	82	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
82	x110	100	-0.0005411824460629722	0.0005411824460629722	-1.801218692529992	0.07166879387366423	0.7875570980109792	799540	100042	800000	1	0.01	459	83	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
83	x154	142	-0.0005303469404132743	0.0005303469404132743	-1.7647481663632358	0.07760648129368572	0.7875570980109792	799540	100042	800000	1	0.01	459	84	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
84	x562	430	-0.0005257005474667186	0.0005257005474667186	-1.7476118965343972	0.08053163780916266	0.7875570980109792	799540	100042	800000	1	0.01	459	85	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
85	x586	454	0.0005220876052887664	0.0005220876052887664	1.7356595846931386	0.08262442886862442	0.7875570980109792	799540	100042	800000	1	0.01	459	86	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
86	x225	199	-0.000521860720495492	0.000521860720495492	-1.735266350391735	0.08269402430985662	0.7875570980109792	799540	100042	800000	1	0.01	459	87	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
87	x471	368	-0.0005164199737693137	0.0005164199737693137	-1.7188348272862275	0.08564483905760813	0.7875570980109792	799540	100042	800000	1	0.01	459	88	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
88	x81	73	-0.0005162892434777945	0.0005162892434777945	-1.7174419027220664	0.0858988482531685	0.7875570980109792	799540	100042	800000	1	0.01	459	89	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
89	x89	80	0.000509912227616857	0.000509912227616857	1.6957065558794313	0.08994185569141232	0.7875570980109792	799540	100042	800000	1	0.01	459	90	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
90	x220	195	-0.0005071505350962579	0.0005071505350962579	-1.686868414437495	0.09162904681835235	0.7875570980109792	799540	100042	800000	1	0.01	459	91	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
91	x460	363	0.0005050864381524937	0.0005050864381524937	1.6807192178462118	0.09281785656830314	0.7875570980109792	799540	100042	800000	1	0.01	459	92	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
92	x132	122	0.0005049099848834707	0.0005049099848834707	1.6802213573785558	0.09291464608982167	0.7875570980109792	799540	100042	800000	1	0.01	459	93	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
93	x155	143	-0.0004991267040546875	0.0004991267040546875	-1.660014850526672	0.09691185720186019	0.7875570980109792	799540	100042	800000	1	0.01	459	94	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
94	x109	99	-0.00048556285336095854	0.00048556285336095854	-1.6147399570348946	0.10636741528123851	0.7875570980109792	799540	100042	800000	1	0.01	459	95	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
95	x478	375	0.0004839138309423932	0.0004839138309423932	1.6088345297819848	0.1076529231701963	0.7875570980109792	799540	100042	800000	1	0.01	459	96	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
96	x383	303	-0.0004800557146819437	0.0004800557146819437	-1.596046091946423	0.11047889825475603	0.7875570980109792	799540	100042	800000	1	0.01	459	97	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
97	x520	400	-0.00047794292698370683	0.00047794292698370683	-1.5898645724941571	0.11186573020187815	0.7875570980109792	799540	100042	800000	1	0.01	459	98	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
98	x488	383	0.0004742783260728596	0.0004742783260728596	1.5785634401448676	0.11443662160519892	0.7875570980109792	799540	100042	800000	1	0.01	459	99	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
99	x246	206	0.0004637246220993811	0.0004637246220993811	1.5416243829450698	0.12316529259993975	0.7875570980109792	799540	100042	800000	1	0.01	459	100	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
100	x160	146	-0.000461261688163014	0.000461261688163014	-1.5351020555180348	0.12475915716391572	0.7875570980109792	799540	100042	800000	1	0.01	459	101	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
101	x3	2	-0.00046063286090357514	0.00046063286090357514	-1.531933195230681	0.12553931657857448	0.7875570980109792	799540	100042	800000	1	0.01	459	102	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
102	x483	378	-0.00045950759415469057	0.00045950759415469057	-1.5292255331760811	0.12620893848332088	0.7875570980109792	799540	100042	800000	1	0.01	459	103	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
103	x256	216	0.00045550396485543584	0.00045550396485543584	1.5160143755064979	0.12951611278917052	0.7875570980109792	799540	100042	800000	1	0.01	459	104	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
104	x564	432	0.00045337897514605564	0.00045337897514605564	1.508411474678042	0.13144964315291158	0.7875570980109792	799540	100042	800000	1	0.01	459	105	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
105	x414	323	-0.0004513119067141928	0.0004513119067141928	-1.5009068063208024	0.13338006238441694	0.7875570980109792	799540	100042	800000	1	0.01	459	106	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
106	x114	104	-0.0004508709957251108	0.0004508709957251108	-1.5007090576303368	0.13343122419028935	0.7875570980109792	799540	100042	800000	1	0.01	459	107	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
107	x573	441	0.00045038808731895743	0.00045038808731895743	1.49813225184815	0.13409928790251657	0.7875570980109792	799540	100042	800000	1	0.01	459	108	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
108	x39	36	-0.0004494847759833384	0.0004494847759833384	-1.4949719537418178	0.13492215652854805	0.7875570980109792	799540	100042	800000	1	0.01	459	109	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
109	x548	416	-0.0004489368729737507	0.0004489368729737507	-1.4938477520569782	0.13521581182180736	0.7875570980109792	799540	100042	800000	1	0.01	459	110	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
110	x441	348	-0.0004469372067236595	0.0004469372067236595	-1.4869690524661117	0.13702337913353807	0.7875570980109792	799540	100042	800000	1	0.01	459	111	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
111	x156	144	-0.0004386841762220508	0.0004386841762220508	-1.4591385105071148	0.1445273815251644	0.7875570980109792	799540	100042	800000	1	0.01	459	112	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
112	x455	359	-0.00043714089290378133	0.00043714089290378133	-1.4544572413316754	0.14581997245830872	0.7875570980109792	799540	100042	800000	1	0.01	459	113	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
113	x409	318	-0.0004352905618988729	0.0004352905618988729	-1.4474307634285941	0.14777670693274508	0.7875570980109792	799540	100042	800000	1	0.01	459	114	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
114	x13	11	0.0004340216114363858	0.0004340216114363858	1.443126958182421	0.1489851022708632	0.7875570980109792	799540	100042	800000	1	0.01	459	115	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
115	x353	286	0.0004325058995217799	0.0004325058995217799	1.4397626414223317	0.14993495553744834	0.7875570980109792	799540	100042	800000	1	0.01	459	116	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
116	x35	32	-0.0004326256095615776	0.0004326256095615776	-1.439392764594264	0.15003966468249422	0.7875570980109792	799540	100042	800000	1	0.01	459	117	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
117	x481	377	0.00043243114052289556	0.00043243114052289556	1.4373875953683266	0.15060828284521402	0.7875570980109792	799540	100042	800000	1	0.01	459	118	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
118	x384	304	0.00043218249989219386	0.00043218249989219386	1.4370321894836962	0.15070923863726335	0.7875570980109792	799540	100042	800000	1	0.01	459	119	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
119	x161	147	0.0004318891236874576	0.0004318891236874576	1.436759440180118	0.15078675016418402	0.7875570980109792	799540	100042	800000	1	0.01	459	120	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
120	x321	263	0.00042621115775038693	0.00042621115775038693	1.4186174980981516	0.15601095141166058	0.7875570980109792	799540	100042	800000	1	0.01	459	121	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
121	x324	265	-0.00042309008051380584	0.00042309008051380584	-1.4071151456239979	0.15939363643456775	0.7875570980109792	799540	100042	800000	1	0.01	459	122	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
122	x342	277	0.0004227582336436306	0.0004227582336436306	1.405858355355399	0.15976657818404755	0.7875570980109792	799540	100042	800000	1	0.01	459	123	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
123	x469	366	-0.000409123922107893	0.000409123922107893	-1.3601542513128781	0.1737814997363628	0.7875570980109792	799540	100042	800000	1	0.01	459	124	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
124	x572	440	0.00040856993354902857	0.00040856993354902857	1.3589269930980152	0.1741701076165689	0.7875570980109792	799540	100042	800000	1	0.01	459	125	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
125	x351	284	0.0004072077330918013	0.0004072077330918013	1.3541766350912	0.17568041410948418	0.7875570980109792	799540	100042	800000	1	0.01	459	126	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
