,Name,URL,Ingredients
100,Vodka Slime,https://www.thecocktaildb.com/drink/178362-Vodka-Slime,"sprite, lime, vodka"
101,Vodka Lemon,https://www.thecocktaildb.com/drink/178363-Vodka-Lemon,"vodka, Lemon, Lemon, ice"
102,Vodka Tonic,https://www.thecocktaildb.com/drink/178364-Vodka-Tonic,"vodka, tonic water, Lemon"
104,Negroni,https://www.thecocktaildb.com/drink/11003-Negroni,"gin, campari, sweet vermouth"
105,Dry Martini,https://www.thecocktaildb.com/drink/11005-Dry-Martini,"gin, vermouth, olive"
106,Alaska Cocktail,https://www.thecocktaildb.com/drink/11013-Alaska-Cocktail,"orange bitters, gin, chartreuse, twist of Lemon"
107,Alexander,https://www.thecocktaildb.com/drink/11014-Alexander,"gin, creme de cacao, cream, nutmeg"
108,Allies Cocktail,https://www.thecocktaildb.com/drink/11022-Allies-Cocktail,"vermouth, gin, kummel"
109,Angel Face,https://www.thecocktaildb.com/drink/11034-Angel-Face,"brandy, brandy, gin"
110,Archbishop,https://www.thecocktaildb.com/drink/11052-Archbishop,"gin, ginger wine, benedictine, lime"
111,Arthur Tompkins,https://www.thecocktaildb.com/drink/11054-Arthur-Tompkins,"gin, grand marnier, Lemon, twist of Lemon"
112,Artillery,https://www.thecocktaildb.com/drink/11055-Artillery,"sweet vermouth, gin, bitters"
113,Bermuda Highball,https://www.thecocktaildb.com/drink/11084-Bermuda-Highball,"brandy, gin, vermouth, water, Lemon"
114,Bluebird,https://www.thecocktaildb.com/drink/11120-Bluebird,"gin, triple sec, curacao, bitters, maraschino cherry, twist of Lemon"
115,Boomerang,https://www.thecocktaildb.com/drink/11124-Boomerang,"gin, vermouth, bitters, maraschino liqueur, maraschino cherry"
116,Boxcar,https://www.thecocktaildb.com/drink/11149-Boxcar,"gin, triple sec, Lemon, grenadine, egg white"
117,Casino Royale,https://www.thecocktaildb.com/drink/11224-Casino-Royale,"gin, Lemon, maraschino liqueur, orange bitters, egg yolk"
118,Dragonfly,https://www.thecocktaildb.com/drink/11320-Dragonfly,"gin, ginger ale, lime"
119,Dubonnet Cocktail,https://www.thecocktaildb.com/drink/11326-Dubonnet-Cocktail,"dubonnet rouge, gin, bitters, twist of Lemon"
120,English Highball,https://www.thecocktaildb.com/drink/11338-English-Highball,"brandy, gin, sweet vermouth, water, Lemon"
121,English Rose Cocktail,https://www.thecocktaildb.com/drink/11339-English-Rose-Cocktail,"brandy, gin, vermouth, grenadine, Lemon, cherry"
122,Flying Dutchman,https://www.thecocktaildb.com/drink/11368-Flying-Dutchman,"gin, triple sec"
123,Gentleman's Club,https://www.thecocktaildb.com/drink/11396-Gentlemans-Club,"gin, brandy, sweet vermouth, club soda"
124,Gin And Tonic,https://www.thecocktaildb.com/drink/11403-Gin-And-Tonic,"gin, tonic water, lime"
125,Gin Cooler,https://www.thecocktaildb.com/drink/11407-Gin-Cooler,"gin, water, sugar, orange spiral, Lemon"
126,Gin Daisy,https://www.thecocktaildb.com/drink/11408-Gin-Daisy,"gin, Lemon, sugar, grenadine, maraschino cherry, orange"
127,Gin Fizz,https://www.thecocktaildb.com/drink/11410-Gin-Fizz,"gin, lemon, sugar, water"
128,Gin Sling,https://www.thecocktaildb.com/drink/11415-Gin-Sling,"gin, lemon, sugar, water, twist of orange peel"
129,Gin Smash,https://www.thecocktaildb.com/drink/11416-Gin-Smash,"gin, water, sugar, mint, orange, cherry"
130,Gin Sour,https://www.thecocktaildb.com/drink/11417-Gin-Sour,"gin, Lemon, sugar, orange, maraschino cherry"
131,Gin Squirt,https://www.thecocktaildb.com/drink/11418-Gin-Squirt,"gin, grenadine, sugar, pineapple, strawberries, water"
132,Gin Swizzle,https://www.thecocktaildb.com/drink/11419-Gin-Swizzle,"lime, sugar, gin, bitters, club soda"
133,Gin Toddy,https://www.thecocktaildb.com/drink/11420-Gin-Toddy,"gin, water, sugar, twist of Lemon"
134,Grass Skirt,https://www.thecocktaildb.com/drink/11433-Grass-Skirt,"gin, triple sec, Pineapple, grenadine, pineapple"
