Id,Comment
黃棋棋  · ,但現在89家長用鈔能力讓他們的孩子也去讀私校所以感覺都一樣
李玢,諷刺的是，現在的黑子化已經根深蒂固…。身為私校教師，我還是要處理一堆學生的品德還有違禁品問題🙃考進來不代表進來不會歪掉
Stanley Lu,8+9的爸媽是誰請問而且教育部怎樣惡搞？教育部培養出8+9的嗎笑死
Net Hsu,放任不管還有帝王條款兒少法，叢林法則之下自然培養出自私自利無法無天的8+9，跟法務部一樣，不痛不癢的法規只是防君子不防小人，對守法良民處處刁難但是對真正的惡人束手無策。
Yuchun Tseng,沒錯一些學校老師不能打罵就可能有壞孩子等就算花再多錢也要讓小孩都私立因為至少老師權利大學生都很聽話而且也比較沒有壞小孩
洪敬承,公校是教改的白老鼠~~東山 薇閣等根本屌打市立明星高中~~早上沒有早自習 學生上課玩手機 整天搞事鬧學校~~口袋有點錢的 當然會想把孩子送到有念書環境 不用一堆神奇課程 念書保頂大的私校~~這幾間學校的學生氣質 對照公校學生氣質~~不要再酸甚麼適性揚才~~家長到最後看的只有三年後的升學啦~~
Yun Ting,公立除了資優班&特殊選才藝班！都是普通班！全是自己請家教！家教班！
Natalie Yang,氣質？一堆被私校填鴨到兩眼無神的學生沒看到嗎？這種以後會有競爭力才有鬼
洪敬承,他們不用競爭力！爸媽給的起跑點 已經不是多數家庭靠努力追得上的！這不是逼格什麼是逼格呢？！有機會去新北投 看看吧！如果哪兒的學生多數是兩眼無神 再來跟大家分享分享
Yoshimune Tsai,好笑～ 當初只是人在海外工作，怕兒子國中變壞，才讓他考私校。考上了每天考試，是不用補習沒錯，但就是死讀書。 後來還是讓他出國讀書比較好。 思考也比較多方面。 說實在很喜歡台北師大附中的校風～ 考不上才會去考慮私校
Alice Hsu,部分私校過度成績至上，品德放兩邊的例子不少見，成績好萬事沒關係，成績不好樣樣都是錯，學校的這種扭曲風氣令人不敢恭維。
洪敬承,公校一樣歐！校規現在跟擺設差不多了！踩線的 警告 小過幾乎都不敢處理！家長會來跟你剛的！
Summer Liang, 現在的家長真的好兩難，很多人要進私校得從幼稚園開始唸，經濟條件不好的真的很無力BTW東山在我那年代真的稱不上好私校，剛剛看到新聞還想說弄錯了吧
黃益中   · ,私立學校可以挑學生，公立學校只能概括承受。在2023年12月新北市國中少年殺人案件發生後，這兩年私校的招生盛況更是如日中天。
Mason Li,政府知道呀！現在也是教育階級化！有錢念私校 沒錢念公校！ 我們的教育體制從日本德國制走入美國制！資本主義至上！
Peter Fong,蔡英文的社會安全網大成功呢！
Yu-Ching Hu,公立學校所有資源給那2班升學績效班。其餘近放生….家長能怎麼辦？還有些家教、家教班的高昂學費……只有少數學生家庭能支撐。
Dp Derek,民進黨和側翼繼續努力維護加害者人權
Chia-Yi Shen,台南不行，超過名額，要抽籤
周玉涵,以為公立才有89？私立學校的89更難搞，因為爸媽有錢，只要能用錢擺平的事就不算事
Yi Yang Li,私立89起碼有錢負責，公立89很多家庭狀況都不好，出事也只有爛命一條還有你應該有深深的誤會，這種私中只是一般「小康家庭」能上的，基本上都是理念相同的家長，都是送小孩進來好好讀書考大學的你描述的那種真正有錢人，上的是貴族學校，才不會上這種平民私中，他們未來的目標是送出國栽培，根本不會上這種以台灣考試為主的學校
師為訴摻,呵呵私立的才不敢，之前去教育集會場合遇到某私立的生教，他們說學校89學生跟怪獸家長幾乎沒有，因為2個原因:1.只要有問題就協助轉學，學校有明文規定要家長配合事項，你不遵守就轉學囉！（後面一堆人排隊擠進來2.因為私立學校要直升上國中部，如果國小有問題，他們也會列入考慮（一樣一堆人排隊等進國中上述而言，家長跟學生根本不敢「假肖」！
Abby Wang,師為訴摻 正確，我兩孩子讀那種需要激烈競爭考入的第一志願私中，國高中都讀那邊，的確少數壞學生能靠關說進來，但屁股保證坐不滿一學期就記滿過退學了，被校方強制一直約談父母勸退，父母丟不起人很快把孩子轉走。所以明星私校學校完全沒有壞學生生存空間，是真的，分分鐘違反校規記滿大過退學轉學。全校都是家教良好，父母高學歷，老師更是細緻貼心負責任，帶孩子帶心，帶得全班品格心裡素質很強，對孩子跟家長來說，辦學細緻精緻用心的明星私校，簡直天堂，所有老師比父母還關心孩子，而且私中老師非公立老師終身制，私校老師如果像公校老師那樣亂霸凌學生，最慢一年內會被取消聘任fire掉。所以私校能淘汰壞學生，也很快淘汰壞老師，這就是私校既安全，升學成績又好的根本原因。公校無法淘汰壞學生，也無法淘汰壞老師，就像一鍋屎，越攪越臭，永無法改善，你只能遠離它。
David Chao,那要看什麼私校，我們家讀的私校，8+9會讀不下去被要求轉學
洪碩謙,這種是要考試才進得去的私校，跟那種野雞私校不一樣…
Yu Ting Tsai,私校也是要考試的…但有人也會說89也有成績好的…但說真的，私校雖然也有不怎麼愛讀書的小孩，但父母大多平時管的也嚴，不太會讓小孩放學沒人管到處亂跑
盧貞貞,至少小孩送去私校，應該不會被砍吧！這點就贏了。教育部該檢討很多，很多吧！
Roudolf Chen,第一會分班，第二大多時間都被限制在學校，還有能用錢擺平私校的，在外面可以擺平議員…
Auwoo,哈哈哈….不用錢就可以搞死公立學校
徐大一,你放心，有錢的８９不會去這種私校
Allen Yuan,有錢就不會叫89 起碼是89教科書
Yuchun Tseng,你要送看看私立嗎？學生一天到晚補習，課外活動一堆誰還8+9阿那來的時間ㄚ，有錢也要考的上啊！考上還要成績要幾百名內喔不然也是淘汰掉好嗎？是很多家長怕小孩變壞，爲了孩子好嗎！不知道就把孩子送去看看ㄚ！
徐湘穎,對但是至少有人管有人顧，主要還是看遇到什麼老師
Johnny Li,私立學校如果遇到學生犯嚴重校規，馬上被開除， 公立學校根本睜一隻眼閉一隻眼
盧智煌,這不一定，過來人經驗，父母是家長會成員還是會壓事情
鄭雯雯,我想讓小孩進私立不是想讓他書讀多厲害，是想讓他安全長大，減少走偏路的機率，這樣就好了
王奕琅,確實如此 我媽當初讓我讀東山就是
Mina Huang,我的小孩原本可以上公立學校，但最後選擇私校，其實主要原因就是學校敢管，成績真的是其次。小孩的同學就讀公立學校，上課還能po文上IG，反觀私校，一進班級門口後就必須交出手機然后集中放置班導辦公室，直到放學回家手機才會歸還孩子（抱歉，我真的認為上課就該好好上課）。其實也不能怪公立老師不敢管，而是公立學校一管孩子後就有民代上學校關切，所以老師最後就通通都不管了
李曉菁,不是吧⋯家裡小孩讀公立的，也是到校就收手機到導辦，直到放學歸還～
Teng Ting Tsai,現在的升學制度，私校其實沒什麼優勢
李福幸,私校晚上留下來復習當天白天上課的進度就如同補習班一樣！
Yu Ling,這是導師跟學校敢作為，如果家長不挺，學生硬是不交，導師也沒辦法，弄不好還會被家長學生告侵佔，要感謝願意收手機的老師啊
Li Wang,"沒辦法,在公立學校老師如果管教學生很快家長就來了,然後動不動告老師或是讓老師上媒體公審,私立學校沒這問題,私立學校你不想學校管孩子學校會請你直接帶回去,之後不用來也沒關係,只能說這環境和耽心都是家長自己造成的"
王傳凱,每間學校都這樣！你是不是誤會了什麼！ 孩子又不是學校老師的！自己教好就不會有問題！ 私校只是滿足父母的懶惰管教的藉口！
張漢卿,是管教問題，不是升學問題，望知悉。
Lily Chen,唸私校真的是安全大於成績考量 我問兒子班上上課會吵鬧嗎 他說不會很安靜 大家都在上課 而且他們導師有組織學習小組 讓英數理較好的同學教比較落後的同學 他的數學除了家教外 他的同學的教導真的是幫忙很大
