Cocktail Name,Ingredients
Arbitrary Nature of Time,"campari, cherry herring, mole bitters, orange bitters"
Freight Train Swizzle,"rum, velvet falrnum, green chartreuse, lime juice, angostura bitters, mint sprig"
Mr. Bodi Hai,"rum, coffee liqueur, banana liqueur, pineapple juice, lemon juice, toasted macadamia orgeat, angostura bitters, pineapple wedge, pineapple frond"
Get Lucky,"light rum, lemon juice, orgeat, ginger syrup, acacia honey syrup, blackberries, peychaud’s bitters, blackberry garnishes"
Age of Aquarius,"mezcal, lime juice, passionfruit syrup, honey syrup, campari, mint sprig"
Junior,"rye whiskey, benedictine, lime juice, angostura bitters, nick and nora"
Sloe Gin Fizz,"sloe gin, lemon juice, simple syrup, soda water, lemon wheel"
Marlin,"light rum, rhum agricole, blue curaçao, maraschino liqueur, orgeat, lemon juice, lime juice, maraschino cherries"
Hurricane,"jamaica rum, lemon juice, passionfruit syrup, cocktail umbrella"
Prescription Julep,"brandy, rye whiskey, simple syrup, mint leaves, sugar cube, mint sprig"
Nuclear Daiquiri,"overproof rum, green chartreuse, velvet falernum, lime juice, lime wheel, nick and nora"
Kentucky Buck,"bourbon, lemon juice, simple syrup, ginger syrup, fresh strawberries, ginger beer, candied ginger, strawberry"
French Pearl,"gin, lime juice, simple syrup, absinthe rinse, mint leaves, mint leaf"
Norwegian Paralysis,"aquavit, orange juice, pineapple juice, lemon juice, orgeat, demerara syrup, pineapple frond, mint sprig, pilsner glass"
Dear Jane,"gin, campari, sweet vermouth, elderflower liqueur, lemon twist"
Death in Oaxaca,"mezcal, green chartreuse, lime juice, agave, champagne, lime twist"
A Fistfull of Dollars,"cachaça, meadowsweet syrup, lime juice, kiwi, kiwi slice, coupe"
Saturn,"gin, velvet falernum, lemon juice, passionfruit syrup, orgeat, maraschino cherry"
Millionaire,"rum, sloe gin, apricot liqueur, lime juice, dehydrated lime wheel, nick and nora"
Peach Cobbler,"gin, peach liqueur, orgeat, lemon juice, season fruit, mint sprig"
Lake at Night,"vodka, blue curaçao, lemon juice, honey syrup, cardamon bitters, orange twist, nick and nora"
Banana Farmer,"overproof rum, light rum, banana liqueur, velvet falernum, lime juice, pineapple juice, pineapple frond, caramelized banana slice"
12 Mile Limit,"light rum, rye whiskey, brandy, grenadine, lemon juice, lemon wheel, nick and nora"
The Shark-Infested Custard,"rum, overproof rum, licor 43, coconut cream, lemon juice, amaro di angostura, pineapple frond, lime, sugar cube, lemon hart 151, ground cinnamon, hollowed out pineapple"
Spring Swing,"gin, simple syrup, lemon juice, maraschino liqueur, elderflower liqueur, cucumber wheels, strawberry slices, cucumber wheel, strawberry slice"
Cool Aunt Pimm,"sherry, blanco tequila, lemon juice, raspberry preserve, sea salt, cucumber tonic water, mint sprig, lemon twist"
Rum & Cola,"light rum, coke reduction, fernet branca, orinoco bitters, champagne, lemon twist"
Death in the Gulf Stream,"genever, lime juice, simple syrup, angostura bitters, mint sprig"
Caractacus Potts,"gin, watermelon juice, lemon juice, simple syrup, soda water, mint sprig"
Yellow Pepper No. 2,"mezcal, yellow chartreuse, lemon juice, simple syrup, scrappy’s firewater bitters, shishito pepper, sea salt"
Raspberry Beret,"gin, raspberry liqueur, blanc vermouth, cocchi americano, mint sprig, raspberry, nick and nora"
High Priest of California,"brandy, fino sherry, lillet rouge, orgeat, lemon juice, pineapple juice, angostura bitters, soda water"
Rum and Ramajay,"dark rum, amaro di angostura, white crème de cacao, coffee bitters, chocolate bitters, maraschino cherry"
Sex on the Beach,"vodka, peach liqueur, orange juice, cranberry juice, maraschino cherry, cocktail umbrella, hurricane glass"
Fairbanks Loan No. 2,"gin, rum, lilletpertif, lime juice, lemon juice, honey syrup, lemon twist, coupe"
Bow and Arrow,"bourbon, mezcal, pineapple juice, lime juice, sugar cane syrup"
Long Island Ice Tea,"light rum, vodka, tequila, gin, cointreau, lemon juice, simple syrup, coke, lemon wheel, maraschino cherry, highball"
Commando,"bourbon, cointreau, lime juice, simple syrup, absinthe rinse, coupe"
Miami Vice,"light rum, jamaica rum, pineapple juice, coconut cream, simple syrup, strawberries, pineapple frond, strawberry fan, hurricane glass"
Daiquiri,"rum, lime juice, simple syrup, lime wheel"
Sloe Gin Martinez,"sloe gin, sweet vermouth, orange liqueur, maraschino liqueur, campari, orange twist, lemon twist"
Grapefruit Mule,"gin, grapefruit liqueur, aperol, grapefruit bitters, lime juice, ginger syrup, soda water, orange twist"
Siren of the Fjords,"aquavit, orange liqueur, sherry, sweet vermouth, orange bitters, coupe"
Fontoura,"silver cachaça, cachaça, amaro montenegro, grapefruit juice, lime juice, simple syrup, orange twist"
Pan Daisy,"gin, aquavit, cointreau, grapefruit juice, cinnamon syrup, nutmeg, orange peel"
Mulholland Drive,"campari, gin, amaro montenegro, coffee liqueur, orange twist"
Angostura Colada,"angostura bitters, jamaica rum, pinapple juice, coconut cream, lime juice, nutmeg, pineapple frond, orange slice"
Mexican Firing Squad,"tequila, grenadine, lime juice, angostura bitters, orange twist, soda water"
Aperol Spritz,"aperol, prosecco, soda water, orange wheel"
Monte Carlo,"rye whiskey, benedictine, angostura bitters, lemon twist"
French 75,"gin, lemon juice, simple syrup"
Champagne Cocktail,"sugar cube, angostura bitters, champagne"
Boulevardier,"bonded bourbon, campari, sweet vermouth, flamed orange peel"
Jack Rose,"applejack, lime juice, grenadine, lime wheel"
Negroni,"gin, sweet vermouth, campari, orange peel"
Daisy,"gin, orange liqueur, lemon juice, soda water, lemon twist"
Manhattan,"rye whiskey, sweet vermouth, angostura bitters, luxardo cherry"
Sazerac,"rye whiskey, peychauds bitters, sugar cube, soda water, absinthe rinse, lemon peel"
