Cocktail Name,Ingredients
Granny Mae,"gin, green apple liqueur, lemon juice, honey syrup, apple syrup, dehydrated lemon wheel"
Hub City,"bourbon, amaro nonino, amaro angeleno, triple sec, lemon juice, honey syrup, peach bitters, lemon twist"
White Linen,"gin, lemon juice, simple syrup, elderflower liqueur, cucumber slices, soda water"
Monte Cassino,"whiskey, benedictine, yellow chartreuse, lemon juice, lemon twist"
Ellison,"gin, lime juice, simple syrup, angostura bitters, mint leaves, cucumber, cucumber"
Trident,"cynar, aquavit, fino sherry, peach bitters, lemon twist"
Garibaldi,"rye whiskey, campari, lemon juice, simple syrup, large red grapes, orange wheel, grape"
El Pepino,"tequila blanco, lime juice, agave, cucumber, jalapeño, chili salt"
Clover Club #1,"gin, lemon juice, simple syrup, raspberries, egg white, raspberry"
Clover Club #2,"gin, lemon juice, simple syrup, raspberries, egg white, raspberry"
The Original Clover Club,"gin, dry vermouth, raspberry syrup, lemon juice, egg white, raspberry"
Caipirinha,"cachaça, lime, sugar, lime wheel"
Batida Rosa,"cachaça, pineapple juice, lemon juice, grenadine, simple syrup, club soda, dehydrated orange wheel"
Colonial Ties,"rye whiskey, jamaica rum, brown sugar, orange bitters, soda water, absinthe rinse, orange twist"
Dry Daiquiri,"rum, campari, lime juice, simple syrup, passionfruit syrup, orange coin twist"
Flamingo in the Forest,"vodka, aperol, aquavit, pineapple juice, strawberries, cucumber, sugar, mint, cucumber"
Raspberry Fix,"cognac, orange liqueur, lemon juice, raspberry syrup, lemon twist, season fruit, mint sprig"
Breakfast In Bed,"vermouth, fernet branca, lemon juice, simple syrup, mint sprig, absinthe spritz"
The Goldfinch,"fino sherry, cocchi americano, lemon juice, simple syrup, orange bitters, grapefruit twist, soda water"
Elder Fashioned,"gin, st. germain, orange bitters, grapefruit twist"
Mr. Brown,"bourbon, coffee liqueur, angostura bitters, vanilla syrup, orange twist"
Black Manhattan,"rye whiskey, amaro, angostura bitters, orange bitters, maraschino cherry"
Joy Division,"gin, dry vermouth, cointreau, absinthe, orange twist"
Frozen Strawberry Negroni,"gin, campari, sweet vermouth, orange juice, simple syrup, strawberry, xanthan gum, orange, strawberry"
Grohl Whip,"light rum, green chartreuse, pineapple juice, coconut milk syrup, banana, xanthan gum, mint bouquet"
Venetian Breeze,"vodka, elderflower liqueur, lemon juice, grapefruit juice, simple syrup, lemon wheel"
Lavender Spriz Lemonade,"vanilla vodka, lavender syrup, pink lemonade, soda water, lavender sprig"
Ann Darrow,"cachaça, armagnac, banana liqueur, cinnamon syrup, acid adjusted pineapple juice, absinthe spritz"
Old Pal,"campari, rye whiskey, dry vermouth, orange peel"
Gold Rush,"bourbon, honey syrup, lemon juice"
Mezcal Rickey,"mezcal, lime juice, simple syrup, lime wheel, soda water"
Double Pineapple,"pineapple rum, acid adjusted pineapple juice, simple syrup, saline solution, pineapple juice, citric acid, malic acid, lime juice, lime wheel"
Dole Whip,"jamaica rum, coconut milk, pineapple juice, lime juice, lemon juice, pineapple, sugar, xanthan gum"
Pineapple Old Fashioned,"pineapple rum, coffee liqueur, demerara syrup, orange bitters, orange twist"
Hotel National Special,"light rum, apricot liqueur, pineapple juice, lime juice, simple syrup, lime wheel"
Old Sweet Song,"bourbon, peach liqueur, orgeat, molasses syrup, lemon juice, peach, mint sprig"
Tipperary,"irish whiskey, sweet vermouth, green chartreuse, orange bitters, orange twist"
Grenadine Sour,"grenadine, lemon juice, water, orange blossom water, egg white"
King Of The House,"mezcal, cocchi americano, bitter liqueur, chili liqueur, grapefruit, orange peel"
Maximillian Affair,"mezcal, elderflower, vermouth, lemon juice, lemon twist"
Amaretto Sour,"amaretto, bourbon, lemon juice, simple syrup, egg white, lemon twist"
Siesta,"tequila blanco, campari, lime juice, simple syrup, grapefruit juice, lime wheel"
Wibble,"gin, sloe gin, grapefruit juice, lemon juice, simple syrup, crème de mûre, lemon twist"
Ginger Rogers,"gin, lemon juice, ginger syrup, mint leaves, ginger ale, mint sprig"
Strawberry Daiquiri,"light rum, lime juice, simple syrup, strawberry, lime twist"
Strawberry Negroni,"gin, blanc vermouth, bitter bianco, lemon twist"
Strawberry Caipirinha,"cachaca, simple syrup, sugar cube, lime, strawberry"
Strawberry Nights,"vodka, cappelletti apertivo, strawberry honey syrup, lemon juice, egg white, soda water, strawberry, honey"
Dr. Funk,"rhum agricole blanc, lemon juice, grenadine, absinthe, lime juice, soda water"
Eastern Sour,"bourbon, lemon juice, orange juice, orgeat, simple syrup, orange wheel, lime wheel"
Zombie (Jeff Berry Reconstruction),"jamaica rum, puerto rican rum, cinnamon syrup, white grapefruit juice, lime juice, mint sprig"
Bitter Old Man,"london dry gin, elderflower liqueur, campari, lemon juice, averna amaro, orange bitters"
Polka Dot Negroni,"gentian liqueur, gin, blanc vermouth, grapefruit bitters, lemon twist, luxardo cherry"
Cable Car,"spiced rum, orange liqueur, lemon juice, simple syrup, cinnamon sugar"
Cosmonaut,"gin, lemon juice, raspberry preserves"
Old Cuban,"dark rum, lime juice, simple syrup, angostura bitters, mint leaves, champagne, mint sprig"
On the Run,"gin, lime juice, agave, blackberries, blueberry, mint leaf, elderflower foam, st. germain, lemon juice, water, egg whites"
Pago Pago,"gold rum, lime juice, green chartreuse, crème de cacao, cubed pineapple, pineapple frond, cube of pineapple"
Love & Murder,"campari, green chartreuse, lime juice, simple syrup, saline"
Prince Henry Punch,"rhum agricole, aged rum, lime juice, green chartreuse, raspberry gomme syrup, angostura bitters, mint, seasonal fruit"
Army & Navy,"gin, lemon juice, orgeat, angostura bitters, lemon twist"
Self Starter,"london dry gin, lillet blanc, apricot liqueur, absinthe, lemon twist"
Russian Spring Punch,"lemon juice, crème de casis, simple syrup, vodka, champagne, lemon slice, raspberry"
Grapefruit Cooler,"vodka, lemon juice, honey syrup, grapefruit syrup, angostura bitters, peychauds bitters, mint sprig, grapefruit peel"
French Martini,"vodka, raspberry liqueur, pineapple juice"
Duke Martini,"vodka, dry vermouth"
Frozen Margarita,"blanco tequila, agave, cointreau, lime juice, orange juice, lime wheel, orange wheel"
Strawberry Margarita,"blanco tequila, cointreau, strawberries, lime juice, agave nectar, strawberry"
Session Margarita,"manzanilla sherry, tequila, orange liqueur, lime juice, agave, sea salt, lime wheel"
Avocado Margarita,"blanco tequila, avocado syrup, lime juice, lime wheel, avocado, agave nectar, lime juice, kosher salt"
Parmesan Espresso Martini,"vodka, espresso, simple syrup, parmesan"
Parmesan Espresso Martini No. 2,"vodka, espresso, simple syrup, parmesan, vodka"
Dark Star,"chocolate infused rum, creme de cacao, lime juice, xanthan gum, pebble ice, sugar, saline solution, angostura cocoa bitters, grated chocolate, cacao nibs, rum"
Killer On Ice,"charanda blanco, blanc vermouth, agave, celery bitters, firewater bitters, lime twist"
Old Mexican Cough Syrup,"mezcal, rye whiskey, chile liqueur, lemon juice, orgeat, coffee liqueur, angostura bitters, orange bitters, walnut bitters, maraschino cherry"
Pineapple Daiquiri No. 2,"rum, pineapple juice, simple syrup, lime juice, saline solution"
Greenhorn,"blanco tequila, midori, suze, maraschino cherry"
Final Straw,"bourbon, green chartreuse, strawberry liqueur, lemon juice"
Mezcal Mule,"mezcal, ginger wort, lime juice, passion fruit, agave, cucumber slices, cucumber slices, ground chili, water, ginger, brown sugar, lime juice"
Jasmine,"gin, lemon juice, cointreau, campari, lemon twist"
Kill Devil,"rhum agricole, green chartreuse, demerara syrup, angostura bitters, rum"
Suplada Spritz,"gin, sweet vermouth, adobo shrub, chocolate bitters, cava, orange twist, bay leaf, coconut vinegar, muscovado sugar, garlic, bay leaf, thai chile pepper, black peppercorns"
Ube Colada,"rum, coconut water, ube halaya, pineapple juice, coconut milk, coconut cream, fruit"
Gin and Pomme,"gin, simple syrup, pomelo juice, soda water, pomelo twist"
Pancho Villa,"rum, gin, apricot liqueur, cherry liqueur, pineapple juice, lime juice, soda water, pineapple fronds, lime wheel"
Bergamot Negroni,"barrel aged gin, select aperitivo, sweet vermouth, italicus, orange peel"
Coffee And Tonic,"italicus, tonic water, cold brew coffee, lime wedge"
Bergamot Garibaldi,"italicus, gin, tonic water, grapefruit juice, simple syrup, grapefruit slice"
Grasshopper,"mint infused vodka, crème de cacao, ancho reyes verde, white chocolate syrup"
Neruda,"grenadine, lemon juice, cinnamon syrup, soda water, maraschino cherries"
Mr. Peanut,"bourbon, demerara syrup, whiskey, sarsaparilla bitters"
Improved Brandy Cocktail,"brandy, simple syrup, maraschino liqueur, absinthe, boker’s bitters, lemon twist"
Cognac Sazerac,"cognac, sugar cube, peychaud’s bitters, absinthe rinse, soda water, lemon twist"
New York Sazerac,"rye whiskey, cognac, sugar, peychaud’s bitters, soda water, lemon twist"
Apricot BLVD,"rye whiskey, fernet branca, benedictine, apricot liqueur, mint leaves, mint sprig"
The Art of Choke,"light rum, cynar, green chartreuse, lime juice, demerara syrup, mint leaves, mint sprig"
The Slope,"rye whiskey, punt e mes, apricot liqueur, angostura bitters, amaretto cherry"
Espresso MartiNO,"seedlip spice 94, espresso, simple syrup, espresso beans"
Spiced NO-Fashioned,"spiritless kentucky 74, demerara syrup, angostura bitters, orange twist"
NoGroni Sbagliato,"aperitif rosso, italian orange, lyres classico, orange wheel"
Hanky Panky,"gin, sweet vermouth, fernet branca, orange twist"
Toronto,"rye, fernet branca, simple syrup, orange twist"
The Alligator,"fernet branca, lime juice, orange liqueur, cinnamon syrup, lime wheel"
Color In Your Cheeks,"fernet branca, bonded applejack, lemon juice, maple syrup, egg white, apple fan"
Tea Tree Sour,"cognac, amaro, honey syrup, lemon juice, orange flower water, mint leaf"
Stirred on Third,"bourbon, campari, st germain, green chartreuse, lemon peel"
The Gem,"cognac, jamaica rum, lime juice, rich pineapple syrup, angostura bitters, grated cinnamon"
Milano-Torino Sour,"campari, dry vermouth, grapefruit juice, lime juice, simple syrup, egg white"
Rum Old Fashioned,"barbados rum, hamilton 151, jamaica rum, rich cane syrup, angostura bitters, bittermen’s tiki bitters, orange twist, lime coin"
Clarified Whiskey Sour (Milk),"whiskey, lemon juice, simple syrup, whole milk, orange twist"
Clarified Whiskey Sour (Coconut),"whiskey, lemon juice, simple syrup, coconut cream, orange twist"
White Negroni,"gin, suze, blanc vermouth, lemon twist"
Intro To Aperol,"aperol, gin, lemon juice, simple syrup, angostura bitters, lemon peel"
Oaxaca Old Fashioned,"reposado tequila, mezcal, angostura bitters, agave nectar, orange twist"
Basil Gimlet,"gin, lime juice, simple syrup, basil leaves"
City Of Angels Chuhi,"shochu, midori, lime, honey syrup, salt, soda water"
Vampiro,"reposado tequila, tomato juice, orange juice, lime juice, grenadine, hot sauce, salt, black pepper, lime twist"
Paloma,"tequila blanco, grapefruit juice, lime juice, simple syrup, grapefruit bitters, soda water, grapefruit wheel"
Carajillo,"licor 43, charanda, double shot espresso"
Cantarito,"tequila, orange juice, grapefruit juice, lime juice, salt, grapefruit soda, lime wheel, orange wheel"
